dataset,horizon,route_family,reference,mode,active_ratio,test_mse,test_mae,mse_gain_pct,mae_gain_pct,selection_reason,paper_status
ETTh1,96,guarded_posthoc_dynamic,static_anchor,Selective,0.081508078994614,0.3880877046079523,0.4057792693568773,0.0324534527842929,0.0647549152337749,one_se_and_double_guard,positive_but_small
Weather,96,guarded_posthoc_dynamic,static_anchor_patience3,Selective,0.05065109153581,0.1724593501592871,0.2120035243184906,0.0619767083849663,0.0081932634989705,one_se_and_double_guard,tiny_positive_guarded_dynamic
ECL,96,guarded_posthoc_dynamic,static_anchor,Bypass,0.0,0.1449533316556527,0.2375698792529108,0.0,0.0,fallback_static_only,bypass_or_neutral
Solar-96,96,guarded_posthoc_dynamic,static_anchor,Selective,0.041182682154171,0.2049879402425866,0.2306178395437937,0.252994826640496,0.3190398643733661,one_se_and_double_guard,positive_but_small
Solar-192,192,guarded_posthoc_dynamic,static_anchor,Selective,0.0481542486193198,0.2437561139197098,0.2612944179197531,0.0573630540853063,0.001252513227026,one_se_and_double_guard,positive_but_small
Traffic,96,guarded_posthoc_dynamic,static_anchor,Selective,0.0946381482566656,0.3921420741364507,0.2683736946179571,-0.0023760047035975,0.1255488380432158,one_se_and_double_guard,mixed_metric
ETTh1,96,stage3_lambda_three_source,adaptive_anchor,stage3_closed_form_all,,0.3818771753483487,0.3998411645897352,-0.4250272486107763,-0.0855155117605044,best_val_mse_with_mae_guard,negative_addon
Solar-96,96,stage3_lambda_three_source,adaptive_anchor,stage3_closed_form_top_alpha_5,,0.1959216173310863,0.2269464560869736,0.0450737857799128,0.0249662335224223,best_val_mse_with_mae_guard,weak_positive_addon
Solar-192,192,stage3_lambda_three_source,adaptive_anchor,stage2_anchor,,0.2332319063597687,0.2542870538749474,0.0,0.0,best_val_mse_with_mae_guard,fallback_to_anchor
Traffic,96,stage3_lambda_three_source,adaptive_anchor,"Stage3 lambda three-source, closed-form eta2",,0.3823706126156125,0.2591701150510283,0.0703712720755152,0.0961468777875447,,weak_positive_addon
Weather,96,mse_primary_target_gate,audit_adaptive_anchor_not_pat3_headline,target_gate_g20_d40,0.4,0.1696885758524763,0.2106083095452767,0.0664021065874043,-0.0276014831137006,best_val_mse_relaxed_mae_or_fold_guard,audit_only_mse_positive_mae_negative
Solar-96,96,mse_primary_target_gate,adaptive_anchor,target_gate_g10_d20,0.2,0.1955686093873999,0.226831423029842,0.2251707217122275,0.0756408903082733,best_val_mse_relaxed_mae_or_fold_guard,mse_primary_positive_audit
Solar-192,192,mse_primary_target_gate,adaptive_anchor,target_gate_g10_d20,0.2,0.2331034103422103,0.2542512314235449,0.0550936703146655,0.014087406675535,best_val_mse_relaxed_mae_or_fold_guard,mse_primary_positive_audit
