split,variant,oracle,mse,mae,mse_gain_vs_anchor_pct,mae_gain_vs_anchor_pct,active_ratio,active_unit_count,unit_count,selected_ensemble,eta_mult,eta_raw,eta_clip_reason,target_mask,dynamic_source
val,static_p0_dynamic,anchor,0.6605922915470576,0.5377014604403462,0.0,0.0,0.0,0,2785,stage3_closed_form_all,2.0,8.969902282030986,clipped_high,all,static_p0
val,static_p0_dynamic,selected_stage3,0.6537325994426991,0.5364765083275653,1.0384154026825767,0.22781268099545,1.0,2785,2785,stage3_closed_form_all,2.0,8.969902282030986,clipped_high,all,static_p0
val,static_p0_dynamic,oracle_window_gate,0.6521023867500295,0.5358159385721277,1.2851958622080386,0.3506633340133222,0.6057450628366248,1687,2785,stage3_closed_form_all,2.0,8.969902282030986,clipped_high,all,static_p0
val,static_p0_dynamic,oracle_target_gate,0.6507793650144957,0.5349760257954496,1.48547396906202,0.5068676292351215,0.332033854834573,6473,19495,stage3_closed_form_all,2.0,8.969902282030986,clipped_high,all,static_p0
val,static_p0_dynamic,oracle_point_gate,0.6483284501879834,0.531446912936769,1.856491744757302,1.1632007654312513,0.3340733735145764,625225,1871520,stage3_closed_form_all,2.0,8.969902282030986,clipped_high,all,static_p0
test,static_p0_dynamic,anchor,0.38026096264795406,0.39949953052172876,0.0,0.0,0.0,0,2785,stage3_closed_form_all,2.0,8.969902282030986,clipped_high,all,static_p0
test,static_p0_dynamic,selected_stage3,0.3818771753301714,0.39984116458973523,-0.42502724207155473,-0.08551551176050441,1.0,2785,2785,stage3_closed_form_all,2.0,8.969902282030986,clipped_high,all,static_p0
test,static_p0_dynamic,oracle_window_gate,0.3780025908828868,0.3977265343598139,0.5939005017346656,0.44380431676587623,0.4100538599640934,1142,2785,stage3_closed_form_all,2.0,8.969902282030986,clipped_high,all,static_p0
test,static_p0_dynamic,oracle_target_gate,0.3772281548477638,0.3968093082084535,0.7975595967230666,0.6733981163286844,0.3108489356245191,6060,19495,stage3_closed_form_all,2.0,8.969902282030986,clipped_high,all,static_p0
test,static_p0_dynamic,oracle_point_gate,0.3729070607878245,0.39065300938486414,1.9339092314184834,2.214400884354347,0.32957168504744805,616800,1871520,stage3_closed_form_all,2.0,8.969902282030986,clipped_high,all,static_p0
val,static_mean_dynamic,anchor,0.6605922915470576,0.5377014604403462,0.0,0.0,0.0,0,2785,stage3_closed_form_all,2.0,8.904460643087138,clipped_high,all,static_mean
val,static_mean_dynamic,selected_stage3,0.6537665665785289,0.5365114387890314,1.0332734813697702,0.22131642535250082,1.0,2785,2785,stage3_closed_form_all,2.0,8.904460643087138,clipped_high,all,static_mean
val,static_mean_dynamic,oracle_window_gate,0.6521150560036986,0.5358249760996706,1.2832779994307755,0.3489825635100235,0.6086175942549371,1695,2785,stage3_closed_form_all,2.0,8.904460643087138,clipped_high,all,static_mean
val,static_mean_dynamic,oracle_target_gate,0.6508071177805779,0.5349987393618741,1.4812727747039782,0.5026434327068137,0.33085406514490895,6450,19495,stage3_closed_form_all,2.0,8.904460643087138,clipped_high,all,static_mean
val,static_mean_dynamic,oracle_point_gate,0.6483744137921083,0.5314816811267995,1.8495338064475382,1.1567346885115455,0.3330485380866889,623307,1871520,stage3_closed_form_all,2.0,8.904460643087138,clipped_high,all,static_mean
test,static_mean_dynamic,anchor,0.38026096264795406,0.39949953052172876,0.0,0.0,0.0,0,2785,stage3_closed_form_all,2.0,8.904460643087138,clipped_high,all,static_mean
test,static_mean_dynamic,selected_stage3,0.3818586011971717,0.39982545939755276,-0.42014266678663076,-0.08158429507998445,1.0,2785,2785,stage3_closed_form_all,2.0,8.904460643087138,clipped_high,all,static_mean
test,static_mean_dynamic,oracle_window_gate,0.3780021948514167,0.39773138245612377,0.5940046490200878,0.44259077433604677,0.4100538599640934,1142,2785,stage3_closed_form_all,2.0,8.904460643087138,clipped_high,all,static_mean
test,static_mean_dynamic,oracle_target_gate,0.3772310746389209,0.3968053319438962,0.7967917579376185,0.674393427775506,0.3111054116440113,6065,19495,stage3_closed_form_all,2.0,8.904460643087138,clipped_high,all,static_mean
test,static_mean_dynamic,oracle_point_gate,0.3729280407075595,0.3906742988585348,1.928391988841452,2.209071848387062,0.3298693040950671,617357,1871520,stage3_closed_form_all,2.0,8.904460643087138,clipped_high,all,static_mean
