horizon,setting,kind,alpha_mean,alpha_std,val_mse,val_mae,test_mse,test_mae,reference_best_single,selection_reason,test_mse_gain_vs_baseline_mean_pct,test_mse_gain_vs_best_single_pct,test_mae_gain_vs_baseline_mean_pct,test_mae_gain_vs_best_single_pct
96,global_closed_form_alpha,adaptive_global_alpha,0.4828096677251657,0.0,0.146278749732807,0.20073881363524354,0.19609917958782952,0.22687486143803512,baseline_p2,best_val_mse_with_mae_guard,1.576061995292452,2.6332526338477877,2.214963748312518,4.35481118176138
96,per_variable_shrinkage_alpha,adaptive_variable_alpha,0.47244132247961745,0.11012569408885878,0.1460492511110266,0.20069605212729386,0.19600996644872096,0.22700313021856705,baseline_p2,best_val_mse_with_mae_guard,1.6208388703986214,2.6775485518398074,2.1596787895701834,4.300736033656827
96,baseline_mean,group_mean,,,0.14764560024608583,0.20306508698951498,0.1992393147066014,0.23201388487916005,baseline_p2,best_val_mse_with_mae_guard,0.0,1.0741194266223844,0.0,2.188317881215629
96,static_mean,group_mean,,,0.1478471969561274,0.2016265543198664,0.19906749620345915,0.22638948958855543,baseline_p2,best_val_mse_with_mae_guard,0.08623724860490473,1.1594303841870393,2.4241632320987967,4.559432715836553
96,posthoc_closed_loop,guarded_dynamic,,,,,0.2049879402425866,0.2306178395437937,baseline_p2,Selective:selective_activation,-2.8852867439594436,-1.78017589190643,0.6017076676654337,2.7768582723968946
96,best_single_baseline_p2,single_reference,,,0.14996687033011308,0.20826113972428636,0.20140261936694812,0.23720467724642336,baseline_p2,best_val_mse_with_mae_guard,-1.08578202225419,0.0,-2.2372766052199102,0.0
192,global_closed_form_alpha,adaptive_global_alpha,0.6400423725595645,0.0,0.16434755609870894,0.21639803598735238,0.2332729955828257,0.2542551612780235,static_p1,best_val_mse_with_mae_guard,1.0086396588876239,3.8429093525451643,1.6707749680083768,2.7935149905258037
192,per_variable_shrinkage_alpha,adaptive_variable_alpha,0.6384329487322887,0.08610658062343171,0.16420249626322464,0.21634702327358002,0.23323190636431287,0.25428705387494754,static_p1,best_val_mse_with_mae_guard,1.0260762148240454,3.859846673983928,1.658441002695595,2.7813218565527227
192,baseline_mean,group_mean,,,0.16708474835205772,0.2194487086098874,0.23564985346094333,0.2585753738985546,static_p1,best_val_mse_with_mae_guard,0.0,2.863148545379098,0.0,1.1418172187893691
192,static_mean,group_mean,,,0.1652133022968534,0.21750485469678899,0.23696767309095004,0.2556101224113456,static_p1,best_val_mse_with_mae_guard,-0.5592278588983409,2.31993221078816,1.1467648455851551,2.2754881059086096
192,posthoc_closed_loop,guarded_dynamic,,,,,0.2437561139197098,0.2612944179197531,static_p1,Selective:selective_activation,-3.4399598980060504,-0.47832019084556765,-1.051547941400343,0.1022760328477602
192,best_single_static_p1,single_reference,,,0.16807379293637992,0.22210277140803708,0.24259572956308048,0.2615619330883558,static_p1,best_val_mse_with_mae_guard,-2.9475410233125228,0.0,-1.1550052678152074,0.0
