feature,coef_standardized,abs_coef,train_mean,train_std
dynamic_abs_mean_target,1.2470181414738581,1.2470181414738581,0.5827880620328306,0.1984153201800659
input_sq_mean,-1.1793234992738812,1.1793234992738812,0.981283924158542,0.43445139298457286
input_abs_mean,1.0239748262540886,1.0239748262540886,0.8551541411052076,0.17437941312176602
lambda_rank,0.9513932207204308,0.9513932207204308,0.5000968804495253,0.2886753331571242
dynamic_energy_target,-0.7328606456841323,0.7328606456841323,0.46163580572418156,0.2631723899726015
gamma_active,-0.42034985217933285,0.42034985217933285,0.049990311955047474,0.21792509684006975
input_delta_abs_mean,-0.2531759023361386,0.2531759023361386,0.05541512569953229,0.02695570448090135
gamma_selected,0.0895274484055228,0.0895274484055228,0.010626024370437397,0.003064648449006459
reliability,0.030294525825661566,0.030294525825661566,0.5198921034501363,0.06981639414688046
alpha_shrunk,-0.02456744231509323,0.02456744231509323,0.47244132247961756,0.11012577196504934
