model,split,rank_bin,rank_bin_label,n,pred_gain_mean,pred_gain_min,pred_gain_max,oracle_gain_mean,positive_rate,nonzero_dynamic_rate,worst_5pct_gain_mean,p05_gain,p50_gain,p95_gain
huber,val,1,top_0_10pct,70706,-0.049657623120973195,-0.20696576610063883,0.235902944656726,-0.07175655138116692,0.00548751166803383,0.3597573048963313,-0.2881797030720201,-0.2633963411862345,0.0,0.0
huber,val,2,top_10_20pct,70706,-0.2532487224201031,-0.2878847983295403,-0.2069657857516698,-0.23258783913921194,0.023435069159618703,0.9831131728566176,-0.42037693391196945,-0.3528778994824811,-0.24489161876802729,-0.036010424215212486
huber,val,3,top_20_30pct,70706,-0.3169679098649105,-0.3485481854651642,-0.2878848623168398,-0.27611329680812857,0.0314824767346477,0.9991655587927475,-0.5609673174455792,-0.46214753689841837,-0.27763077319423246,-0.05612752631588297
huber,val,4,top_30_40pct,70706,-0.3868955960324328,-0.428363219923686,-0.34854915146456145,-0.34403027760702515,0.05948575792719147,1.0,-0.7501705992309086,-0.6636073145216446,-0.3473334548469212,0.03194126997303215
huber,val,5,top_40_50pct,70706,-0.47443315358265264,-0.5209876382257312,-0.42836339058884026,-0.415081657136584,0.10453144004752071,1.0,-0.901918696842862,-0.8264942261657251,-0.45218512887278295,0.20163256567660268
huber,val,6,top_50_60pct,70706,-0.5659692754915705,-0.6096236244152802,-0.5209881650520358,-0.49151824233067587,0.124855033519079,1.0,-1.0020486062008116,-0.9345553583586808,-0.5779810672242054,0.3450635193207117
huber,val,7,top_60_70pct,70706,-0.6519566293364287,-0.6944562397070067,-0.6096271645712735,-0.5749460039033611,0.1169349135858343,1.0,-1.0864714381087632,-1.0237167134364238,-0.6934596171904559,0.4032213473361007
huber,val,8,top_70_80pct,70705,-0.7388891817303513,-0.7843433533237287,-0.6944568244147764,-0.643817983417881,0.11074181458171276,1.0,-1.1524458711228125,-1.0868123921189305,-0.7957327152009166,0.4696576662341564
huber,val,9,top_80_90pct,70705,-0.8352891260815498,-0.8942733215150938,-0.7843439486129509,-0.723830685688134,0.10142139876953539,1.0,-1.2073995879878643,-1.1421487413478897,-0.8954401146907508,0.4266126235962223
huber,val,10,top_90_100pct,70705,-1.0663470666633448,-4.911324180184795,-0.8942754870033248,-0.8725511477018285,0.07372887348843787,1.0,-1.4652896821913357,-1.3263095931460998,-1.0177349678751852,0.29666123499660546
huber,test,1,top_0_10pct,142713,-0.06334580469772953,-0.22767230045795128,0.20138942643523994,-0.07621044501141425,0.004379418833603105,0.3584606868330145,-0.31469202398900736,-0.27108939884563166,0.0,0.0
huber,test,2,top_10_20pct,142713,-0.26264744753008257,-0.2874807739581539,-0.22767265904556128,-0.24049420006600097,0.020299482177517116,0.9858737466103298,-0.4449945999369255,-0.3718606081389225,-0.25463354167014685,-0.0537493626528381
huber,test,3,top_20_30pct,142713,-0.30539713362504606,-0.32246994733705187,-0.2874809703931254,-0.25309262130137183,0.03318548415351089,0.9987317203057885,-0.4986392488345278,-0.4208672772955399,-0.2724479917103319,-0.04042966887882043
huber,test,4,top_30_40pct,142713,-0.339063654246771,-0.3559241881541083,-0.3224699762592834,-0.25819782507135514,0.05619670247279505,1.0,-0.5635235734547531,-0.4865930533003589,-0.2772025535529489,0.015494912106032594
huber,test,5,top_40_50pct,142713,-0.3746116986052207,-0.39511905346311027,-0.3559245700113439,-0.27254774109694535,0.09060141682958105,1.0,-0.6400445706541057,-0.5672971841621938,-0.2914145628643989,0.10389520409250168
huber,test,6,top_50_60pct,142713,-0.41928617886779107,-0.4443157587961346,-0.3951195543532991,-0.3160972426197419,0.1274936410838536,1.0,-0.7258610091527471,-0.6545643879348871,-0.348587860452527,0.2099017659688695
huber,test,7,top_60_70pct,142713,-0.47050871267887795,-0.49789519325048737,-0.4443158463141016,-0.35562275505404733,0.14156383791245367,1.0,-0.7985385444915092,-0.722896200996628,-0.4294840196919015,0.2984939740822762
huber,test,8,top_70_80pct,142713,-0.5309473582409312,-0.5693290206092602,-0.4978953477416039,-0.40301360909233697,0.15355994198145928,1.0,-0.890568523882551,-0.8120537320220793,-0.5089945575414782,0.36745484927467803
huber,test,9,top_80_90pct,142713,-0.6280770341363833,-0.7017001491372392,-0.5693297000444554,-0.49934670674855924,0.13614036562891957,1.0,-1.0174178695302647,-0.9376593164116457,-0.6219110854248255,0.4083153097378874
huber,test,10,top_90_100pct,142712,-0.9373446319705127,-15.805010693910935,-0.7017023680168406,-0.4346075748230407,0.18793093783283815,1.0,-1.277083239141857,-1.1219687741911282,-0.7285478089309542,1.209327813367129
ridge,val,1,top_0_10pct,70706,-0.032624983349400546,-0.23218567776281152,0.29029820788119753,-0.08050869963811673,0.0034791955421039234,0.34602438265493735,-0.38464190650371766,-0.2961143005804527,0.0,0.0
ridge,val,2,top_10_20pct,70706,-0.2685920447040925,-0.29899560346773796,-0.23218650360080959,-0.2509264480199187,0.01954572454954318,0.9961389415325432,-0.6071292202205173,-0.4668409095067937,-0.24482726901982865,-0.07270412558568909
ridge,val,3,top_20_30pct,70706,-0.32344613252230564,-0.3470967538565444,-0.2989972535395691,-0.28214698738055294,0.03715384832970328,0.9998727123582157,-0.6741153270198628,-0.5243734085775915,-0.2735121513332817,-0.04112461718464526
ridge,val,4,top_30_40pct,70706,-0.37371740350791377,-0.4026753192062992,-0.3470971553115368,-0.3308142890714995,0.06951319548553164,1.0,-0.7925238391907994,-0.6670125496798645,-0.32201528617206854,0.06436442754106035
ridge,val,5,top_40_50pct,70706,-0.434448261952591,-0.4670414554386112,-0.40267568533406667,-0.3869267047077778,0.12069697055412554,1.0,-0.9000743135687674,-0.8080641525262233,-0.4160649437020665,0.2460764827265602
ridge,val,6,top_50_60pct,70706,-0.4987610001515234,-0.5295286882842709,-0.46704278963176377,-0.47248673307433775,0.13051226204282523,1.0,-0.9937925289241458,-0.9212459061055129,-0.553403278569931,0.3849057602276389
ridge,val,7,top_60_70pct,70706,-0.5597243706074476,-0.5901421030697693,-0.5295292463024972,-0.5680426461280718,0.11317285661754306,1.0,-1.0756554142455759,-1.012207570764505,-0.6835058255357467,0.43258032013272263
ridge,val,8,top_70_80pct,70705,-0.6215236223601684,-0.6531575514235965,-0.5901459922801524,-0.6446890324350133,0.10504207623223251,1.0,-1.143954289171682,-1.079223360402408,-0.7930974399823754,0.45721531708319785
ridge,val,9,top_80_90pct,70705,-0.6890037057871556,-0.7309816508901608,-0.6531576634954976,-0.7338908930015566,0.09340216392051481,1.0,-1.2079053092894259,-1.141967494118459,-0.8939070485486632,0.3631636852814457
ridge,val,10,top_90_100pct,70705,-0.8443909540285734,-2.671118999349525,-0.7309833684801417,-0.8958017350934052,0.05958560214977724,1.0,-1.4648675659293435,-1.326170605095552,-1.0185823611556972,0.13886195928928144
ridge,test,1,top_0_10pct,142713,-0.050018931411057996,-0.24907898986189456,0.2471682842923264,-0.07353737125912797,0.007042105484433793,0.3488399795393552,-0.3599267862146498,-0.2901797579453493,0.0,0.0
