model,split,top_frac,top_n,pred_gain_mean_top,oracle_gain_mean_top,oracle_gain_mean_all,positive_rate_top,positive_rate_all,worst_5pct_gain_mean_top,worst_5pct_gain_mean_all,p05_gain_top,p05_gain_all,positive_gain_capture_share
huber,val,0.01,7071,0.13545377954421553,0.0,-0.4646221715361753,0.0,0.0752103437205204,0.0,-1.201938234559473,0.0,-1.0936980242013508,0.0
huber,val,0.05,35353,0.05343686849394183,-5.4939322432174334e-05,-0.4646221715361753,0.0010748734195117813,0.0752103437205204,-0.0013410424775485133,-1.201938234559473,0.0,-1.0936980242013508,2.2865708634314147e-05
huber,val,0.1,70706,-0.049657623120973195,-0.07175655138116692,-0.4646221715361753,0.00548751166803383,0.0752103437205204,-0.2881797030720201,-1.201938234559473,-0.2633963411862345,-1.0936980242013508,0.0010906471540481136
huber,val,0.2,141411,-0.15145220798261103,-0.1521715025292747,-0.4646221715361753,0.014461392678080207,0.0752103437205204,-0.3786302040908797,-1.201938234559473,-0.31913473718734686,-1.0936980242013508,0.009077239454046948
huber,test,0.01,14271,0.12320570976364938,0.0,-0.3109229854218221,0.0,0.09513505786792925,0.0,-0.9864396997630179,0.0,-0.8521580399950937,0.0
huber,test,0.05,71356,0.04345329404075069,-3.6470972457817503e-06,-0.3109229854218221,0.0,0.09513505786792925,-7.293785624159265e-05,-0.9864396997630179,0.0,-0.8521580399950937,0.0
huber,test,0.1,142713,-0.06334580469772953,-0.07621044501141425,-0.3109229854218221,0.004379418833603105,0.09513505786792925,-0.31469202398900736,-0.9864396997630179,-0.27108939884563166,-0.8521580399950937,0.0010290700161414202
huber,test,0.2,285426,-0.162996626113906,-0.15835232253870754,-0.3109229854218221,0.01233945050556011,0.09513505786792925,-0.4019095009169458,-0.9864396997630179,-0.32975357585129456,-0.8521580399950937,0.007200797292199731
ridge,val,0.01,7071,0.16885630201110235,0.0,-0.4646221715361753,0.0,0.0752103437205204,0.0,-1.201938234559473,0.0,-1.0936980242013508,0.0
ridge,val,0.05,35353,0.09029014495282993,6.867204101059044e-06,-0.4646221715361753,0.00104658727689305,0.0752103437205204,-0.0001039287456962691,-1.201938234559473,0.0,-1.0936980242013508,2.2749914400433076e-05
ridge,val,0.1,70706,-0.032624983349400546,-0.08050869963811673,-0.4646221715361753,0.0034791955421039234,0.0752103437205204,-0.38464190650371766,-1.201938234559473,-0.2961143005804527,-1.0936980242013508,0.0005602761444680534
ridge,val,0.2,141411,-0.1506074646947325,-0.16571694624993827,-0.4646221715361753,0.011512541457170941,0.0752103437205204,-0.525213981453084,-1.201938234559473,-0.38697802272920756,-1.0936980242013508,0.006621501780361793
ridge,test,0.01,14271,0.14002667545353817,0.0,-0.3109229854218221,0.0,0.09513505786792925,0.0,-0.9864396997630179,0.0,-0.8521580399950937,0.0
ridge,test,0.05,71356,0.07449357062416934,0.0,-0.3109229854218221,0.0,0.09513505786792925,0.0,-0.9864396997630179,0.0,-0.8521580399950937,0.0
ridge,test,0.1,142713,-0.050018931411057996,-0.07353737125912797,-0.3109229854218221,0.007042105484433793,0.09513505786792925,-0.3599267862146498,-0.9864396997630179,-0.2901797579453493,-0.8521580399950937,0.00110154141174993
ridge,test,0.2,285426,-0.16345819595134445,-0.15284138379065781,-0.3109229854218221,0.0207023887102086,0.09513505786792925,-0.4581251781380342,-0.9864396997630179,-0.37235171342748435,-0.8521580399950937,0.008369455768608659
