model,split,rank_bin,rank_bin_label,n,pred_gain_mean,pred_gain_min,pred_gain_max,oracle_gain_mean,positive_rate,nonzero_dynamic_rate,worst_5pct_gain_mean,p05_gain,p50_gain,p95_gain
huber,val,1,top_0_10pct,517,-0.16461870256738922,-0.2218340969084675,0.11155671117230226,-0.19590807753954456,0.06769825918762089,1.0,-0.3283821698133387,-0.26962689869950957,-0.2326259850116539,0.03475166828107212
huber,val,2,top_10_20pct,516,-0.251188914764818,-0.2805013711328884,-0.22191224533173903,-0.2491749914328262,0.011627906976744186,1.0,-0.413239264875708,-0.3247671514860983,-0.2468077899239546,-0.17910289837612695
huber,val,3,top_20_30pct,516,-0.3170633965549886,-0.357072782253564,-0.2806571136456488,-0.2896041932721272,0.02131782945736434,1.0,-0.57240872248625,-0.47765069719781683,-0.28176401840453247,-0.1398966241389267
huber,val,4,top_30_40pct,516,-0.40402786531434676,-0.4515954398830737,-0.357669146434758,-0.3613328477241495,0.029069767441860465,1.0,-0.7114572368371183,-0.6603569625962101,-0.3617211460767856,-0.06008782064752785
huber,val,5,top_40_50pct,516,-0.4965261769131619,-0.5391109799227533,-0.4518167877232234,-0.42517583368030065,0.07751937984496124,1.0,-0.8183974832702324,-0.7643136573445983,-0.46547223146103656,0.07695320221524235
huber,val,6,top_50_60pct,516,-0.574253542133457,-0.608926079072778,-0.5391230976989473,-0.492199183704466,0.1124031007751938,1.0,-0.8703029463253333,-0.7968073218937143,-0.6003639605190816,0.2537144988919369
huber,val,7,top_60_70pct,516,-0.6423353528163103,-0.6765696498807792,-0.6090993095486854,-0.5211213716047267,0.12596899224806202,1.0,-0.9580057660467793,-0.882905921549077,-0.6524821271348507,0.24712465163309988
huber,val,8,top_70_80pct,516,-0.7075785377072641,-0.7370391481655452,-0.6765935387260769,-0.594581644982115,0.1124031007751938,1.0,-0.9818799554876911,-0.9266717328952646,-0.7086431553051284,0.14068649307487374
huber,val,9,top_80_90pct,516,-0.7711675566459174,-0.8146104065958802,-0.737283587116957,-0.6725692502976807,0.11434108527131782,1.0,-0.9904921694580417,-0.9475188678646986,-0.8042197706313541,0.11104782631387283
huber,val,10,top_90_100pct,516,-0.9084851462973054,-1.251871664701231,-0.8146754720169757,-0.8450750848718713,0.01937984496124031,1.0,-1.1635986998413317,-1.1031195400046603,-0.911611221623459,-0.3083976037151584
huber,test,1,top_0_10pct,1042,-0.16553127843661353,-0.22000230279734084,0.07608891008696128,-0.18231423265636856,0.09117082533589252,1.0,-0.4254626058406841,-0.3669052242464392,-0.21289315861375896,0.04612962339460399
huber,test,2,top_10_20pct,1042,-0.24042562454787866,-0.2594043693009615,-0.22017013167795768,-0.22832217021905837,0.046065259117082535,1.0,-0.4448613714106723,-0.35836560360813496,-0.2457295140839918,-0.011465187149757623
huber,test,3,top_20_30pct,1042,-0.27795120600609763,-0.2949464391859613,-0.25944990299617754,-0.23777405544395402,0.05950095969289827,1.0,-0.4853204210040301,-0.3974588050626152,-0.25616047394208685,0.04616755406591461
huber,test,4,top_30_40pct,1042,-0.3103321113615312,-0.326722408934773,-0.29497622807905866,-0.2523735505142355,0.06238003838771593,1.0,-0.5447108715780956,-0.4845740789309321,-0.2615537149186822,0.04422781324322931
huber,test,5,top_40_50pct,1042,-0.3449780039717213,-0.3626308682868699,-0.32672911507680946,-0.2515359821100135,0.10268714011516315,1.0,-0.5753188294979412,-0.512151063834146,-0.2695628093378135,0.17137259105048572
huber,test,6,top_50_60pct,1042,-0.3823971077983575,-0.40367773749816205,-0.36264293241499757,-0.29956420826111063,0.0892514395393474,1.0,-0.6454962761404157,-0.5801341911991685,-0.3166010898621065,0.17710173660655631
huber,test,7,top_60_70pct,1042,-0.42815954682951185,-0.4547616065352129,-0.4037140845804488,-0.3575444078375527,0.06525911708253358,1.0,-0.6816692954467796,-0.6279075006438429,-0.39779348921787,0.06620700123912422
huber,test,8,top_70_80pct,1041,-0.4910947406704153,-0.5300189109440336,-0.45492639971144855,-0.4049966060443269,0.0845341018251681,1.0,-0.7568205742680421,-0.6879241225444515,-0.4569724669726831,0.2139558309825196
huber,test,9,top_80_90pct,1041,-0.5854183044855225,-0.6433215234831064,-0.5300750203957298,-0.42327355727204724,0.12487992315081652,1.0,-0.8607135168462515,-0.8040865687433966,-0.5278269425893526,0.3992500715591618
huber,test,10,top_90_100pct,1041,-0.7567462583826965,-1.2274583494261275,-0.6435222543292152,-0.47188366050788255,0.14697406340057637,1.0,-0.9881291667290627,-0.9393342381458388,-0.6653816877305568,0.6941167183864705
ridge,val,1,top_0_10pct,517,-0.16870488535194533,-0.21501325727265513,0.09540525247789766,-0.21074363008338695,0.05415860735009671,1.0,-0.43803220931862064,-0.32294749421362096,-0.2348936548209641,0.008866306730315458
ridge,val,2,top_10_20pct,516,-0.23826806404489306,-0.2636498598220187,-0.2150341138167697,-0.24941972260821582,0.025193798449612403,1.0,-0.5354374484090848,-0.3815304518709918,-0.24604435406430453,-0.13657487140180935
ridge,val,3,top_20_30pct,516,-0.2931681349222943,-0.3253509475324097,-0.26367372157781244,-0.3035052801951743,0.015503875968992248,1.0,-0.6784970381258104,-0.6067527613115521,-0.27971003892057067,-0.12273695074937972
ridge,val,4,top_30_40pct,516,-0.3603112435819244,-0.39820757833675136,-0.32544611931457407,-0.3263607027580598,0.0755813953488372,1.0,-0.7457407914544365,-0.6716956879891783,-0.31840420023295496,0.0525398348064295
ridge,val,5,top_40_50pct,516,-0.434174061429016,-0.465485295759351,-0.39823222157362353,-0.4132360850685131,0.1065891472868217,1.0,-0.8319886338809304,-0.7523389164642714,-0.45402672958852086,0.24194134550130458
ridge,val,6,top_50_60pct,516,-0.4990089482001967,-0.5301851819019343,-0.4655228187398941,-0.45526485010799567,0.09883720930232558,1.0,-0.850225764252994,-0.7965752843546977,-0.5436151996833225,0.2537217579617648
ridge,val,7,top_60_70pct,516,-0.5578137067898813,-0.5866092296261679,-0.5304200325847814,-0.5111303972693185,0.12209302325581395,1.0,-0.9360848486154237,-0.8675293501553899,-0.6222579426935712,0.32793337793986743
ridge,val,8,top_70_80pct,516,-0.6126616628191858,-0.6384375749430176,-0.5868684769007547,-0.6167651616480857,0.12015503875968993,1.0,-0.9822338801586887,-0.9206172960223342,-0.7060854594113113,0.10021410362856208
ridge,val,9,top_80_90pct,516,-0.6755329333152493,-0.7237521809486358,-0.6384534041138623,-0.7138504083114531,0.06782945736434108,1.0,-1.028564157469811,-0.9781293846869464,-0.7951872970353169,0.08798730912942213
ridge,val,10,top_90_100pct,516,-0.8071515580199266,-1.0449800454992713,-0.7243453336055937,-0.8464374899887834,0.005813953488372093,1.0,-1.1627528448361184,-1.1016862421751774,-0.8747470912948351,-0.4204755358012356
ridge,test,1,top_0_10pct,1042,-0.12186828575202463,-0.19135742354304952,0.1321417072843929,-0.17794769108754008,0.13915547024952016,1.0,-0.5395248454427704,-0.45701890571618875,-0.1784665354358854,0.1007077958649933
ridge,test,2,top_10_20pct,1042,-0.21764445017356884,-0.23606420766928668,-0.19158609784772085,-0.22385475204376287,0.09309021113243762,1.0,-0.5511976843257067,-0.4808306551231541,-0.24425113311688515,0.11032367391908679
ridge,test,3,top_20_30pct,1042,-0.2493506674433326,-0.26144874199598733,-0.2360751840902934,-0.24419105846472086,0.061420345489443376,1.0,-0.538504527821795,-0.4602138563082287,-0.2472455554604407,0.0662219784598189
ridge,test,4,top_30_40pct,1042,-0.27456413319629364,-0.2883354919160905,-0.26144900832646456,-0.25089376964607873,0.05950095969289827,1.0,-0.5423855129273483,-0.47481985387637354,-0.25534577122570534,0.0461740448336359
ridge,test,5,top_40_50pct,1042,-0.30276417099033565,-0.31828684782939176,-0.2883389580373087,-0.2766344955089584,0.06238003838771593,1.0,-0.6309910135245433,-0.5564866756417166,-0.26619954850050825,0.12185861066425918
ridge,test,6,top_50_60pct,1042,-0.3371340329573328,-0.3560761628961452,-0.31831693652691956,-0.2971668215904027,0.052783109404990404,1.0,-0.6465925394316654,-0.5863705349337615,-0.27457150814080267,0.020031542885002297
ridge,test,7,top_60_70pct,1042,-0.37940203210859386,-0.40674179465429067,-0.3561073631414786,-0.346592418111843,0.05950095969289827,1.0,-0.7237061804336261,-0.6468768158261756,-0.33499820174948947,0.06319794189180848
ridge,test,8,top_70_80pct,1041,-0.44025237009140494,-0.478489546390874,-0.4068800098657208,-0.3728138720263831,0.09702209414024976,1.0,-0.7506739654348284,-0.6920299865269736,-0.4221016451289159,0.3536911105576089
ridge,test,9,top_80_90pct,1041,-0.5260030381078847,-0.5783662898065483,-0.4786549765649558,-0.4241038632108907,0.12295869356388088,1.0,-0.8873173763773423,-0.8275479189275325,-0.5048842798780998,0.2666717440893808
ridge,test,10,top_90_100pct,1041,-0.6784341954200411,-0.9836933681505642,-0.5785981486175235,-0.4953761460449311,0.12487992315081652,1.0,-0.9756387441964292,-0.93568830051206,-0.6482214708428986,0.6022220315301149
