model,split,top_frac,top_n,pred_gain_mean_top,oracle_gain_mean_top,oracle_gain_mean_all,positive_rate_top,positive_rate_all,worst_5pct_gain_mean_top,worst_5pct_gain_mean_all,p05_gain_top,p05_gain_all,positive_gain_capture_share
huber,val,0.01,52,-0.040478489099073874,-0.09497577102273029,-0.4646221715361753,0.17307692307692307,0.06917264096105406,-0.22460163708724648,-1.0208912443394778,-0.2130692176319337,-0.9448880037781489,0.00925261516675814
huber,val,0.05,258,-0.1269876509930783,-0.1636572957502533,-0.4646221715361753,0.1124031007751938,0.06917264096105406,-0.343160059190915,-1.0208912443394778,-0.26784960216959197,-0.9448880037781489,0.029621802945738608
huber,val,0.1,516,-0.1645078200202166,-0.19583611419118402,-0.4646221715361753,0.06782945736434108,0.06917264096105406,-0.3283821698133387,-1.0208912443394778,-0.2696615696160179,-0.9448880037781489,0.03721069555365253
huber,val,0.2,1032,-0.20779151925857892,-0.2225065706317285,-0.4646221715361753,0.03972868217054264,0.06917264096105406,-0.3787616459630337,-1.0208912443394778,-0.3095541886383981,-0.9448880037781489,0.04852649407239743
huber,test,0.01,104,-0.048276368561342445,-0.15555088336044257,-0.3109229854218221,0.019230769230769232,0.08726120764135548,-0.3128883310867959,-0.8383462190493927,-0.2968465709788804,-0.7317926629439941,1.3341007352621656e-05
huber,test,0.05,521,-0.12761340197423424,-0.16152230422124447,-0.3109229854218221,0.1017274472168906,0.08726120764135548,-0.4018156954101895,-0.8383462190493927,-0.3598869071438504,-0.7317926629439941,0.0106982497997313
huber,test,0.1,1042,-0.16553127843661353,-0.18231423265636856,-0.3109229854218221,0.09117082533589252,0.08726120764135548,-0.4254626058406841,-0.8383462190493927,-0.3669052242464392,-0.7317926629439941,0.02571458732317442
huber,test,0.2,2083,-0.20295136271749395,-0.2052977299338138,-0.3109229854218221,0.06865098415746519,0.08726120764135548,-0.4353178997479431,-0.8383462190493927,-0.3615941879070769,-0.7317926629439941,0.050056614751700826
ridge,val,0.01,52,-0.02729513700428058,-0.14036098416046705,-0.4646221715361753,0.19230769230769232,0.06917264096105406,-0.4980101241763802,-1.0208912443394778,-0.44932541909637197,-0.9448880037781489,0.010683220173401797
ridge,val,0.05,258,-0.13702319933954335,-0.19531064052045535,-0.4646221715361753,0.09689922480620156,0.06917264096105406,-0.48107925608220214,-1.0208912443394778,-0.3654610695746837,-0.9448880037781489,0.026619121560666783
ridge,val,0.1,516,-0.16861514044512224,-0.21069519354522082,-0.4646221715361753,0.05426356589147287,0.06917264096105406,-0.43803220931862064,-1.0208912443394778,-0.32321189155287516,-0.9448880037781489,0.02940447983330249
ridge,val,0.2,1032,-0.20339447375416525,-0.23008758784345013,-0.4646221715361753,0.03972868217054264,0.06917264096105406,-0.48923330408125404,-1.0208912443394778,-0.3570111300965375,-0.9448880037781489,0.05149985657856532
ridge,test,0.01,104,0.0123327615133433,-0.13765057721511847,-0.3109229854218221,0.038461538461538464,0.08726120764135548,-0.3311468991732346,-0.8383462190493927,-0.29679437426870975,-0.7317926629439941,4.151977258857792e-05
ridge,test,0.05,521,-0.0751939807306125,-0.15156613428190532,-0.3109229854218221,0.14395393474088292,0.08726120764135548,-0.4918343809895042,-0.8383462190493927,-0.3960435505176319,-0.7317926629439941,0.019346715909629032
ridge,test,0.1,1042,-0.12186828575202463,-0.17794769108754008,-0.3109229854218221,0.13915547024952016,0.08726120764135548,-0.5395248454427704,-0.8383462190493927,-0.45701890571618875,-0.7317926629439941,0.04931564548717472
ridge,test,0.2,2083,-0.1697245351064806,-0.20083838946375024,-0.3109229854218221,0.11617858857417186,0.08726120764135548,-0.5461702594999642,-0.8383462190493927,-0.47320400279912567,-0.7317926629439941,0.09850368252298737
