ensemble,kind,candidate,group,projection,weight,weight_mean,weight_min,weight_max,weight_std,alpha_mean
baseline_p0,single,baseline_p0,baseline,0,1.0,1.0,1.0,1.0,0.0,
baseline_p1,single,baseline_p1,baseline,1,1.0,1.0,1.0,1.0,0.0,
baseline_p2,single,baseline_p2,baseline,2,1.0,1.0,1.0,1.0,0.0,
static_p0,single,static_p0,static,0,1.0,1.0,1.0,1.0,0.0,
static_p1,single,static_p1,static,1,1.0,1.0,1.0,1.0,0.0,
static_p2,single,static_p2,static,2,1.0,1.0,1.0,1.0,0.0,
baseline_mean,group_mean,baseline_p0,baseline,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,
baseline_mean,group_mean,baseline_p1,baseline,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,
baseline_mean,group_mean,baseline_p2,baseline,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,
static_mean,group_mean,static_p0,static,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,
static_mean,group_mean,static_p1,static,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,
static_mean,group_mean,static_p2,static,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,
all6_mean,simple_mean,baseline_p0,baseline,0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,
all6_mean,simple_mean,baseline_p1,baseline,1,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,
all6_mean,simple_mean,baseline_p2,baseline,2,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,
all6_mean,simple_mean,static_p0,static,0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,
all6_mean,simple_mean,static_p1,static,1,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,
all6_mean,simple_mean,static_p2,static,2,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,
blend_baseline_static_alpha_0.00,baseline_static_blend,baseline_p0,baseline,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
blend_baseline_static_alpha_0.00,baseline_static_blend,baseline_p1,baseline,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
blend_baseline_static_alpha_0.00,baseline_static_blend,baseline_p2,baseline,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
blend_baseline_static_alpha_0.05,baseline_static_blend,baseline_p0,baseline,0,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,baseline_p1,baseline,1,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,baseline_p2,baseline,2,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,static_p0,static,0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,static_p1,static,1,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,static_p2,static,2,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.05
blend_baseline_static_alpha_0.10,baseline_static_blend,baseline_p0,baseline,0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.0,0.1
blend_baseline_static_alpha_0.10,baseline_static_blend,baseline_p1,baseline,1,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.0,0.1
