ensemble,kind,candidate,group,projection,weight,weight_mean,weight_min,weight_max,weight_std,alpha_mean
baseline_p0,single,baseline_p0,baseline,0,1.0,1.0,1.0,1.0,0.0,
baseline_p1,single,baseline_p1,baseline,1,1.0,1.0,1.0,1.0,0.0,
baseline_p2,single,baseline_p2,baseline,2,1.0,1.0,1.0,1.0,0.0,
baseline_p3,single,baseline_p3,baseline,3,1.0,1.0,1.0,1.0,0.0,
static_p0,single,static_p0,static,0,1.0,1.0,1.0,1.0,0.0,
static_p1,single,static_p1,static,1,1.0,1.0,1.0,1.0,0.0,
static_p2,single,static_p2,static,2,1.0,1.0,1.0,1.0,0.0,
static_p3,single,static_p3,static,3,1.0,1.0,1.0,1.0,0.0,
baseline_mean,group_mean,baseline_p0,baseline,0,0.25,0.25,0.25,0.25,0.0,
baseline_mean,group_mean,baseline_p1,baseline,1,0.25,0.25,0.25,0.25,0.0,
baseline_mean,group_mean,baseline_p2,baseline,2,0.25,0.25,0.25,0.25,0.0,
baseline_mean,group_mean,baseline_p3,baseline,3,0.25,0.25,0.25,0.25,0.0,
static_mean,group_mean,static_p0,static,0,0.25,0.25,0.25,0.25,0.0,
static_mean,group_mean,static_p1,static,1,0.25,0.25,0.25,0.25,0.0,
static_mean,group_mean,static_p2,static,2,0.25,0.25,0.25,0.25,0.0,
static_mean,group_mean,static_p3,static,3,0.25,0.25,0.25,0.25,0.0,
all_candidate_mean,simple_mean,baseline_p0,baseline,0,0.125,0.125,0.125,0.125,0.0,
all_candidate_mean,simple_mean,baseline_p1,baseline,1,0.125,0.125,0.125,0.125,0.0,
all_candidate_mean,simple_mean,baseline_p2,baseline,2,0.125,0.125,0.125,0.125,0.0,
all_candidate_mean,simple_mean,baseline_p3,baseline,3,0.125,0.125,0.125,0.125,0.0,
all_candidate_mean,simple_mean,static_p0,static,0,0.125,0.125,0.125,0.125,0.0,
all_candidate_mean,simple_mean,static_p1,static,1,0.125,0.125,0.125,0.125,0.0,
all_candidate_mean,simple_mean,static_p2,static,2,0.125,0.125,0.125,0.125,0.0,
all_candidate_mean,simple_mean,static_p3,static,3,0.125,0.125,0.125,0.125,0.0,
blend_baseline_static_alpha_0.00,baseline_static_blend,baseline_p0,baseline,0,0.25,0.25,0.25,0.25,0.0,0.0
blend_baseline_static_alpha_0.00,baseline_static_blend,baseline_p1,baseline,1,0.25,0.25,0.25,0.25,0.0,0.0
blend_baseline_static_alpha_0.00,baseline_static_blend,baseline_p2,baseline,2,0.25,0.25,0.25,0.25,0.0,0.0
blend_baseline_static_alpha_0.00,baseline_static_blend,baseline_p3,baseline,3,0.25,0.25,0.25,0.25,0.0,0.0
blend_baseline_static_alpha_0.05,baseline_static_blend,baseline_p0,baseline,0,0.2375,0.2375,0.2375,0.2375,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,baseline_p1,baseline,1,0.2375,0.2375,0.2375,0.2375,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,baseline_p2,baseline,2,0.2375,0.2375,0.2375,0.2375,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,baseline_p3,baseline,3,0.2375,0.2375,0.2375,0.2375,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,static_p0,static,0,0.0125,0.0125,0.0125,0.0125,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,static_p1,static,1,0.0125,0.0125,0.0125,0.0125,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,static_p2,static,2,0.0125,0.0125,0.0125,0.0125,0.0,0.05
blend_baseline_static_alpha_0.05,baseline_static_blend,static_p3,static,3,0.0125,0.0125,0.0125,0.0125,0.0,0.05
blend_baseline_static_alpha_0.10,baseline_static_blend,baseline_p0,baseline,0,0.225,0.225,0.225,0.225,0.0,0.1
