focus_node,neighbor,direction,target,source,weight,abs_weight
567,411,neighbor_to_focus,567,411,0.2593909204006195,0.2593909204006195
567,838,neighbor_to_focus,567,838,0.151637002825737,0.151637002825737
567,472,neighbor_to_focus,567,472,-0.14501184225082397,0.14501184225082397
567,414,neighbor_to_focus,567,414,-0.098172128200531,0.098172128200531
567,622,neighbor_to_focus,567,622,0.0936841368675232,0.0936841368675232
567,636,neighbor_to_focus,567,636,-0.07149002701044083,0.07149002701044083
567,703,neighbor_to_focus,567,703,-0.06323309987783432,0.06323309987783432
567,716,neighbor_to_focus,567,716,0.058108456432819366,0.058108456432819366
567,642,focus_to_neighbor,642,567,0.16328583657741547,0.16328583657741547
567,653,focus_to_neighbor,653,567,0.14835256338119507,0.14835256338119507
567,817,focus_to_neighbor,817,567,0.1450144350528717,0.1450144350528717
567,354,focus_to_neighbor,354,567,0.1428033709526062,0.1428033709526062
567,113,focus_to_neighbor,113,567,0.13148233294487,0.13148233294487
567,353,focus_to_neighbor,353,567,0.12512536346912384,0.12512536346912384
567,509,focus_to_neighbor,509,567,0.12318547070026398,0.12318547070026398
567,511,focus_to_neighbor,511,567,0.11956579983234406,0.11956579983234406
606,472,neighbor_to_focus,606,472,-0.16084925830364227,0.16084925830364227
606,860,neighbor_to_focus,606,860,0.1351037621498108,0.1351037621498108
606,799,neighbor_to_focus,606,799,-0.10753122717142105,0.10753122717142105
606,522,neighbor_to_focus,606,522,0.07192345708608627,0.07192345708608627
606,590,neighbor_to_focus,606,590,-0.06908862292766571,0.06908862292766571
606,716,neighbor_to_focus,606,716,0.061445217579603195,0.061445217579603195
606,629,neighbor_to_focus,606,629,0.05962388217449188,0.05962388217449188
606,766,neighbor_to_focus,606,766,0.05616007000207901,0.05616007000207901
606,742,focus_to_neighbor,742,606,0.17050419747829437,0.17050419747829437
606,78,focus_to_neighbor,78,606,0.16938544809818268,0.16938544809818268
606,164,focus_to_neighbor,164,606,0.16088439524173737,0.16088439524173737
606,627,focus_to_neighbor,627,606,0.1591159999370575,0.1591159999370575
606,166,focus_to_neighbor,166,606,0.15653496980667114,0.15653496980667114
606,105,focus_to_neighbor,105,606,0.15533220767974854,0.15533220767974854
606,25,focus_to_neighbor,25,606,0.15341027081012726,0.15341027081012726
606,343,focus_to_neighbor,343,606,0.1533461958169937,0.1533461958169937
103,841,neighbor_to_focus,103,841,0.1369805485010147,0.1369805485010147
103,683,neighbor_to_focus,103,683,0.11774279177188873,0.11774279177188873
103,799,neighbor_to_focus,103,799,-0.10158106684684753,0.10158106684684753
103,861,neighbor_to_focus,103,861,0.08875085413455963,0.08875085413455963
103,567,neighbor_to_focus,103,567,0.08459053933620453,0.08459053933620453
103,504,neighbor_to_focus,103,504,-0.07632586359977722,0.07632586359977722
103,472,neighbor_to_focus,103,472,-0.07521937042474747,0.07521937042474747
103,237,neighbor_to_focus,103,237,0.07473790645599365,0.07473790645599365
103,143,focus_to_neighbor,143,103,0.12454809248447418,0.12454809248447418
103,170,focus_to_neighbor,170,103,0.1164882704615593,0.1164882704615593
103,453,focus_to_neighbor,453,103,0.10620077699422836,0.10620077699422836
103,324,focus_to_neighbor,324,103,0.10586056113243103,0.10586056113243103
103,823,focus_to_neighbor,823,103,0.10567442327737808,0.10567442327737808
103,121,focus_to_neighbor,121,103,0.10526872426271439,0.10526872426271439
103,275,focus_to_neighbor,275,103,0.10166118294000626,0.10166118294000626
103,781,focus_to_neighbor,781,103,0.09215617924928665,0.09215617924928665
705,472,neighbor_to_focus,705,472,-0.16618430614471436,0.16618430614471436
705,703,neighbor_to_focus,705,703,0.1397179663181305,0.1397179663181305
705,606,neighbor_to_focus,705,606,0.11840195953845978,0.11840195953845978
705,567,neighbor_to_focus,705,567,0.10082925111055374,0.10082925111055374
705,173,neighbor_to_focus,705,173,0.09914790838956833,0.09914790838956833
705,860,neighbor_to_focus,705,860,0.09766632318496704,0.09766632318496704
705,522,neighbor_to_focus,705,522,0.09715890884399414,0.09715890884399414
705,511,neighbor_to_focus,705,511,0.08581528812646866,0.08581528812646866
705,62,focus_to_neighbor,62,705,0.20056650042533875,0.20056650042533875
705,108,focus_to_neighbor,108,705,0.18208067119121552,0.18208067119121552
705,147,focus_to_neighbor,147,705,0.15237954258918762,0.15237954258918762
705,570,focus_to_neighbor,570,705,0.14434269070625305,0.14434269070625305
705,493,focus_to_neighbor,493,705,0.12947580218315125,0.12947580218315125
705,763,focus_to_neighbor,763,705,0.12387541681528091,0.12387541681528091
705,338,focus_to_neighbor,338,705,0.12341808527708054,0.12341808527708054
705,586,focus_to_neighbor,586,705,0.11903262138366699,0.11903262138366699
597,554,neighbor_to_focus,597,554,-0.14719481766223907,0.14719481766223907
597,259,neighbor_to_focus,597,259,-0.12887322902679443,0.12887322902679443
597,43,neighbor_to_focus,597,43,0.12715771794319153,0.12715771794319153
597,246,neighbor_to_focus,597,246,-0.11525358259677887,0.11525358259677887
597,238,neighbor_to_focus,597,238,-0.10734769701957703,0.10734769701957703
597,32,neighbor_to_focus,597,32,-0.10647731274366379,0.10647731274366379
597,420,neighbor_to_focus,597,420,0.09819379448890686,0.09819379448890686
597,101,neighbor_to_focus,597,101,0.09276298433542252,0.09276298433542252
597,693,focus_to_neighbor,693,597,-0.062266577035188675,0.062266577035188675
597,12,focus_to_neighbor,12,597,-0.05001725256443024,0.05001725256443024
597,672,focus_to_neighbor,672,597,-0.04243464767932892,0.04243464767932892
597,608,focus_to_neighbor,608,597,-0.04227272421121597,0.04227272421121597
597,701,focus_to_neighbor,701,597,-0.03977925702929497,0.03977925702929497
597,560,focus_to_neighbor,560,597,-0.03297993913292885,0.03297993913292885
597,120,focus_to_neighbor,120,597,-0.031737104058265686,0.031737104058265686
597,211,focus_to_neighbor,211,597,-0.03144996240735054,0.03144996240735054
9,586,neighbor_to_focus,9,586,-0.31542402505874634,0.31542402505874634
9,627,neighbor_to_focus,9,627,0.14684173464775085,0.14684173464775085
9,738,neighbor_to_focus,9,738,0.13089533150196075,0.13089533150196075
9,210,neighbor_to_focus,9,210,0.12524455785751343,0.12524455785751343
9,479,neighbor_to_focus,9,479,0.11876929551362991,0.11876929551362991
9,420,neighbor_to_focus,9,420,0.11771650612354279,0.11771650612354279
9,763,neighbor_to_focus,9,763,0.11351369321346283,0.11351369321346283
9,257,neighbor_to_focus,9,257,-0.11015665531158447,0.11015665531158447
9,242,focus_to_neighbor,242,9,-0.08929575979709625,0.08929575979709625
9,564,focus_to_neighbor,564,9,0.06607943773269653,0.06607943773269653
9,727,focus_to_neighbor,727,9,-0.05868440493941307,0.05868440493941307
9,785,focus_to_neighbor,785,9,0.05406096950173378,0.05406096950173378
9,432,focus_to_neighbor,432,9,0.03958575427532196,0.03958575427532196
9,32,focus_to_neighbor,32,9,0.03477299585938454,0.03477299585938454
9,231,focus_to_neighbor,231,9,-0.03407449647784233,0.03407449647784233
9,146,focus_to_neighbor,146,9,-0.03368201106786728,0.03368201106786728
454,838,neighbor_to_focus,454,838,-0.16359935700893402,0.16359935700893402
454,414,neighbor_to_focus,454,414,-0.10011807084083557,0.10011807084083557
454,860,neighbor_to_focus,454,860,0.09568630158901215,0.09568630158901215
454,799,neighbor_to_focus,454,799,-0.09370020031929016,0.09370020031929016
454,472,neighbor_to_focus,454,472,-0.08747121691703796,0.08747121691703796
454,567,neighbor_to_focus,454,567,0.07375733554363251,0.07375733554363251
454,703,neighbor_to_focus,454,703,0.06789304316043854,0.06789304316043854
454,293,neighbor_to_focus,454,293,0.06046979874372482,0.06046979874372482
