target_index,alpha_raw,alpha_clipped,alpha_shrunk,denominator,reliability,support_in_degree,support_out_degree,support_total_degree,ridge_in_degree,ridge_out_degree,ridge_total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree,val_baseline_sse,val_baseline_sae,val_static_mean_sse,val_static_mean_sae,val_best_single_sse,val_best_single_sae,val_stage2_sse,val_stage2_sae,val_correction_energy,val_baseline_err_dot_correction,val_baseline_mse,val_baseline_mae,val_static_mean_mse,val_static_mean_mae,val_best_single_mse,val_best_single_mae,val_stage2_mse,val_stage2_mae,val_stage2_mse_gain_vs_best_single_pct,val_stage2_mae_gain_vs_best_single_pct,val_stage2_mse_gain_vs_static_mean_pct,val_stage2_mae_gain_vs_static_mean_pct,val_stage2_mse_gain_vs_baseline_pct,val_stage2_mae_gain_vs_baseline_pct,val_correction_energy_share_pct,test_baseline_sse,test_baseline_sae,test_static_mean_sse,test_static_mean_sae,test_best_single_sse,test_best_single_sae,test_stage2_sse,test_stage2_sae,test_correction_energy,test_baseline_err_dot_correction,test_baseline_mse,test_baseline_mae,test_static_mean_mse,test_static_mean_mae,test_best_single_mse,test_best_single_mae,test_stage2_mse,test_stage2_mae,test_stage2_mse_gain_vs_best_single_pct,test_stage2_mae_gain_vs_best_single_pct,test_stage2_mse_gain_vs_static_mean_pct,test_stage2_mae_gain_vs_static_mean_pct,test_stage2_mse_gain_vs_baseline_pct,test_stage2_mae_gain_vs_baseline_pct,test_correction_energy_share_pct,alpha_rank_pct,weighted_degree_rank_pct,energy_rank_pct,test_gain_rank_pct,static_corridor_score,stress_corridor_score,overall_corridor_score
0,1.4982322862246231,1.0,0.8417737103155127,357.3054524015725,0.3516525935248084,417,412,829,22,37,59,1.3849780354648829,3.3369519766420126,4.7219300121068954,22662.472493494322,21804.544102475164,21949.124839341388,21838.383675195626,22138.008259654955,22892.090804080246,22014.405403842607,21730.57366627705,357.30545240157244,535.3265648321311,0.1421236735744928,0.13674332795551852,0.1376500403831865,0.13695554682919192,0.13883458922621258,0.14356368405127587,0.13805943585592645,0.13627943549491428,0.5583287094422312,5.073879654523155,-0.297417619057919,0.4936721074326929,2.8596486541252477,0.3392432139395811,0.04013409540214895,144470.5686524895,84605.07749018027,142260.2364117649,84502.71279699443,143548.88447577826,87985.040523767,142375.70716445963,84204.39168300224,1758.8466403718826,1984.5894596587827,0.44093224635123524,0.2582194229483478,0.4341861888727076,0.2579070001861584,0.43811921475418214,0.2685352589479167,0.43453861206068595,0.25699650748059577,0.8172667559228556,4.296922315724244,-0.08116867763420897,0.3530314046945027,1.4500264708370374,0.4735954614834194,0.08358175883326051,0.5174013921113689,0.894431554524362,0.06728538283062645,0.3039443155452436,0.5719257540603248,0.4808584686774942,0.4457656612529002
1,1.006669004694497,1.0,0.8534865178880163,438.5341026898247,0.3996469465954549,507,379,886,29,26,55,1.8147889431566,1.4602398425340652,3.2750287856906652,44820.860312689074,31898.218936051242,44376.477003732645,31814.287831039866,45152.47621086976,33391.75117102289,44386.747623750845,31701.564573597396,438.53410268982464,441.4586886793601,0.2810860695909158,0.20004401801155958,0.2782991985483936,0.19951765898454663,0.28316573983336946,0.20941044031596734,0.2783636089187666,0.19881073508427025,1.695872854332129,5.061689004475521,-0.023144288847754057,0.3543164569363423,0.9685505496986722,0.6165057768526052,0.049258049089798195,89911.05346269906,69934.54510971857,87965.29870287285,69162.93800245185,88134.16117390747,71711.3738235379,88119.9982325055,69035.94818862993,1042.643350705587,1494.1989847227592,0.27441355803392375,0.21344413855637323,0.26847500580767425,0.21108915055929486,0.26899038350274523,0.21886711905318482,0.2689471574143761,0.21070157055324595,0.016069752310945158,3.730824682694631,-0.175864269108188,0.18360962892786797,1.9920300799685349,1.2849113691650667,0.04954722207579808,0.5788863109048724,0.7192575406032483,0.154292343387471,0.12761020881670534,0.4752513534416087,0.43677494199535966,0.39501160092807425
2,1.0007056205961142,1.0,0.8758955526452918,636.669777362795,0.4914701170399078,373,339,712,27,16,43,1.5396404210478067,0.7652578139677644,2.304898235015571,49115.63525685324,56780.55228414107,48478.0669734168,56507.35720427055,48999.67596541399,57252.956068802625,48487.98440780876,56455.87066106498,636.6697773627948,637.1190246706258,0.3080199883156058,0.3560891549025504,0.3040215919966436,0.3543758604522285,0.30729277020252604,0.35905175138472445,0.30408378742605335,0.35405297173555705,1.0442753906503435,1.3922170355356924,-0.020457569806574552,0.09111476054249819,1.2779043694785457,0.5718183603627489,0.07151350591657214,106523.03846598804,122902.0497783618,105854.0988958932,122655.42362030735,107566.45145544279,124768.05304771336,105778.07173012698,122497.53415071825,1463.1267750294842,1066.0331296881461,0.32511426428968904,0.3751039218257453,0.3230726233515639,0.3743512050136346,0.3282988190235948,0.3807990680477627,0.32284058419440065,0.3738693175319802,1.6625813170536812,1.819791879037189,0.0718225997474078,0.1287260399327006,0.6993479970052787,0.3291365997337217,0.06952892108156966,0.740139211136891,0.41647331786542924,0.46751740139211134,0.54292343387471,0.5665119876256767,0.4419953596287703,0.5417633410672853
3,1.0982633672326858,1.0,0.8736956281842946,614.10627548646,0.4824557154409504,338,297,635,25,10,35,1.5374575294554234,0.585312457755208,2.1227699872106314,29413.35429439072,31915.393253646325,28678.55974029566,31437.80708247889,29102.989874608305,32269.875332957658,28703.59993058825,31401.057584843133,614.1062754864599,674.4504259544826,0.18446063048358619,0.20015172369585543,0.17985249686619292,0.1971566267966015,0.18251423511569528,0.20237479513444245,0.1800095319748912,0.19692615884534376,1.3723330343062627,2.692349254994445,-0.08731327695444993,0.11689586852970235,2.4130344220476143,1.6115598661609065,0.06897907569496547,205987.33040740032,112557.95759431808,201659.37289343393,110237.43493048719,203226.17828347406,112401.11260758247,201844.01027856203,110246.08775426552,3280.446758015324,3804.202271948142,0.6286848398506945,0.34353317460908683,0.6154756717374559,0.33645080980346953,0.620257649317176,0.34305447494745117,0.616039195351603,0.33647721870502956,0.6801131707471794,1.91726291966578,-0.09155903962155552,-0.007849260810355252,2.0114441604945723,2.05393726882022,0.15588937858494337,0.722737819025522,0.3491879350348028,0.43735498839907194,0.2482598607888631,0.440061871616396,0.3932714617169374,0.439385150812065
4,0.5692299893796535,0.5692299893796535,0.6664217819224394,606.8559354314482,0.4794908796813356,427,326,753,30,7,37,1.9131083115935326,0.9429383352398872,2.85604664683342,29978.308560314676,24757.72713426035,29894.283302924945,24786.708668773877,30946.434887315336,26735.53791414015,29787.40590246652,24500.12673990475,606.8559354314481,345.440597680623,0.188003640880962,0.1552636911389998,0.18747669139402057,0.1554454436883772,0.1940750732949236,0.16766718037665657,0.18680642874815948,0.1536481959907733,3.745274662716951,8.361197674100712,0.3575178550875947,1.1561919442340496,0.6368026316897549,1.0404848270547744,0.06816468610894026,80963.79178663153,56426.25288960594,80830.95482972285,55724.000117013,83674.40837374829,59050.25325219496,80557.34443516648,55408.677816705545,1430.1229601167947,781.4800215190388,0.24710601556130826,0.17221607606213357,0.24670058974790887,0.17007276136894778,0.25537896881332495,0.18022467175809087,0.2458655155385245,0.16911038009298254,3.7252297317225493,6.166909090019953,0.33849704625257815,0.5658644383843988,0.5020112602139296,1.8033716945394398,0.06796055415560122,0.15081206496519722,0.6020881670533643,0.4211136890951276,0.8665893271461717,0.5398298530549112,0.511600928074246,0.5101508120649653
5,1.2130020640752062,1.0,0.8830253869570359,715.6293771280037,0.5206852973606676,485,457,942,48,17,65,2.255961885675788,1.2672644816339016,3.5232263673096895,19917.28432330688,24682.553952884628,18896.79387600325,24169.251074618078,19307.591504827542,25874.669435981603,18942.24688322914,24073.924065594503,715.6293771280039,868.0599115691224,0.1249077132457034,0.15479225587550563,0.11850788854607697,0.15157316798752055,0.12108413295722671,0.16226839652306344,0.11879293901282574,0.1509753415713081,1.8922330188467726,6.959491308062714,-0.24053290480991338,0.39441440998427235,4.895433655765851,2.4658302720695233,0.08038259002540017,79112.18333763795,71220.38405270624,76407.19419943313,69662.34541943809,76227.9857047642,72020.13460859813,76554.93369795216,69543.34119810269,1633.0038032559862,2168.9964504840104,0.2414548031351876,0.21736859084354626,0.23319902517162666,0.21261336989524762,0.2326520708344449,0.2198094742180576,0.23364993437454878,0.2122501623635813,-0.42890808430154614,3.4390291325556075,-0.19335809941326676,0.17083005261864523,3.2324346665694494,2.354723127247495,0.07760160944372066,0.7923433874709976,0.7679814385150812,0.5730858468677494,0.060904872389791184,0.5404098994586233,0.6705336426914152,0.5485788863109049
6,0.8038856789644039,0.8038856789644039,0.7834248287115675,884.4521244035813,0.573120550118239,503,414,917,54,13,67,2.6817217748612165,1.0715342573821545,3.753256032243371,22627.228178185313,30203.935722215567,22089.68347573633,30101.641998772277,22933.231604769735,31712.444733432727,22056.03703632646,29889.840952516766,884.4521244035807,710.9983965376827,0.14190264510702208,0.18941862157720982,0.1385315289216858,0.18877710464813038,0.1438216912801634,0.19887896807541094,0.13832052124928795,0.1874488319819685,3.8249932829389484,5.747282482433424,0.1523174356338268,0.7036195775105876,2.524353126069293,1.039913382770771,0.09934549193375367,46480.662254315226,63189.37812144775,45270.02524337246,62635.933124335716,45913.56287312683,65125.745643049944,45297.80643230804,62352.17026598868,1381.577381102692,1296.1072114373956,0.14186157783449074,0.19285751209055985,0.13816664604506196,0.19116836704126292,0.14013075884219292,0.1987674139413332,0.13825143578568475,0.19030230694522376,1.3411210158538849,4.258800186738831,-0.06136773457983021,0.4530352533964027,2.5448342700783533,1.3249186498559813,0.06565363052482927,0.3538283062645012,0.8109048723897911,0.7482598607888631,0.45127610208816704,0.5386697602474865,0.7795823665893271,0.5910672853828306
7,0.2794059850246351,0.2794059850246351,0.5382569793195549,554.0349629716928,0.4568212780516815,378,340,718,46,16,62,2.134314076974988,0.9162370897829533,3.0505511667579412,13838.449369037548,23303.94406537502,14082.88298077952,23441.30658192851,15265.701108767502,24954.387852696236,13832.319583847482,23123.176581231528,554.034962971693,154.80068456719306,0.08678537884455616,0.14614654867408577,0.08831830085277141,0.14700799331432188,0.09573613478807634,0.15649701392670226,0.08674693698479506,0.14501289748414314,9.389555806885216,7.338233589516204,1.7792052754681598,1.357134251817834,0.044295318258563074,0.7756948078676358,0.062231605788767776,34516.744710370105,53717.903440726805,34122.75135919898,53563.90481600468,34782.21179902084,55784.46084338741,34034.29203911161,53130.29242750595,1087.900976383014,740.9471417288652,0.10534703312814393,0.16395004224267143,0.10414454340999786,0.16348002983691243,0.10615725351297992,0.1702572908834707,0.1038745606233263,0.16215662060353167,2.1502938462650705,4.757899199443604,0.2592385331305268,0.8095234841227941,1.3977351436433163,1.0938829991182417,0.05169789960953513,0.060324825986078884,0.654292343387471,0.33642691415313225,0.6693735498839907,0.46133023975251347,0.4953596287703016,0.43010440835266817
8,0.8023789790823609,0.8023789790823609,0.7724316808177384,362.4597436050541,0.3549248957967739,341,410,751,41,12,53,1.6644883221015334,0.9379679299890995,2.602456252090633,14501.55391068923,26076.933147894626,14282.35349959689,25719.369819556538,14671.272015872511,26844.006648265757,14268.523031719082,25649.29354832589,362.45974360505437,290.8300790322778,0.09094392127413976,0.16353685748980676,0.08956924480481694,0.16129446254488095,0.092008278245237,0.16834742278914408,0.08948250948047788,0.1608549916486422,2.7451538197758487,4.450576680277539,0.09683605631382472,0.27246496209779203,1.606937300687341,1.6399152352133957,0.04071304770612474,131381.6066903449,105031.68373022054,129163.62752343793,103524.88613840233,130405.36468361784,106288.35425160814,129323.92775091277,103449.6682744738,1959.4948086124764,2088.7369901426396,0.40098400323012773,0.32056256632184704,0.3942146069056974,0.31596373589462573,0.3980044580880025,0.3243979949568077,0.3947038521550956,0.31573416677188265,0.8292886840420969,2.6707403620292456,-0.12410632199513776,0.07265679464545896,1.5661849411553401,1.5062268827473273,0.09311671567558925,0.3375870069605568,0.5348027842227379,0.07308584686774942,0.3074245939675174,0.39327146171693733,0.30394431554524365,0.3132250580046404
9,1.028290152324501,1.0,0.910851914760136,1144.6318983336985,0.6347071654606219,523,497,1020,31,31,62,2.5195546206086874,0.8922214992344379,3.4117761198431253,68195.31584720033,54749.34201036522,66985.92042522997,54415.371415445756,67764.71182148637,55728.62910348247,67000.79075568877,54369.904730569455,1144.631898333698,1177.0137090930418,0.4276748184276561,0.3433507802175222,0.4200903097107037,0.3412563429124383,0.42497436171411784,0.3494922053951088,0.4201835663486402,0.34097120666873276,1.1273139739899067,2.4381083740459495,-0.022199188074747276,0.08355485535361358,1.7516233727665922,0.6930444565414708,0.12857001061499987,92899.0803956659,81118.61854690764,95954.42248147751,83187.81577810834,102389.96583275647,88422.12938869483,95379.75253051649,82756.07500178367,3722.774372950239,333.716153939576,0.28353318315895687,0.2475785554830417,0.29285825789102177,0.2538938610280189,0.31249989571966397,0.2698692785815718,0.29110433309684935,0.2525761640595507,6.8465823239851735,6.407959665847628,0.5988988689624323,0.5189952065531874,-2.670287073117604,-2.0185950946996756,0.17690913049973478,0.9385150812064965,0.7494199535962877,0.8631090487238979,0.9709976798143851,0.8863109048723897,0.8062645011600929,0.8805104408352669
