profile,split,feature,outcome,spearman,known_at_inference
weather96_static_pat3,val,lambda_value,oracle_unit_mse_gain,-0.33762670981185866,True
weather96_static_pat3,val,lambda_value,oracle_eta2_mse_gain,0.11892092472229442,True
weather96_static_pat3,val,lambda_value,selected_gamma_mse_gain,0.26198287585684726,True
weather96_static_pat3,val,lambda_rank,oracle_unit_mse_gain,-0.33762670981185866,True
weather96_static_pat3,val,lambda_rank,oracle_eta2_mse_gain,0.11892092472229442,True
weather96_static_pat3,val,lambda_rank,selected_gamma_mse_gain,0.26198287585684726,True
weather96_static_pat3,val,gamma_selected,oracle_unit_mse_gain,-0.23081600908192673,True
weather96_static_pat3,val,gamma_selected,oracle_eta2_mse_gain,0.20739950418780062,True
weather96_static_pat3,val,gamma_selected,selected_gamma_mse_gain,0.37388471823056635,True
weather96_static_pat3,val,gamma_active,oracle_unit_mse_gain,-0.22397197149450712,True
weather96_static_pat3,val,gamma_active,oracle_eta2_mse_gain,0.21308308404464196,True
weather96_static_pat3,val,gamma_active,selected_gamma_mse_gain,0.3957495346610793,True
weather96_static_pat3,val,dynamic_energy,oracle_unit_mse_gain,-0.7114387281738047,True
weather96_static_pat3,val,dynamic_energy,oracle_eta2_mse_gain,0.145376216928401,True
weather96_static_pat3,val,dynamic_energy,selected_gamma_mse_gain,0.13546677503188337,True
weather96_static_pat3,val,dynamic_abs_mean,oracle_unit_mse_gain,-0.6973625834316155,True
weather96_static_pat3,val,dynamic_abs_mean,oracle_eta2_mse_gain,0.141756929059414,True
weather96_static_pat3,val,dynamic_abs_mean,selected_gamma_mse_gain,0.11918951166896366,True
weather96_static_pat3,val,input_abs_mean,oracle_unit_mse_gain,-0.4731552739046697,True
weather96_static_pat3,val,input_abs_mean,oracle_eta2_mse_gain,0.13980106673973783,True
weather96_static_pat3,val,input_abs_mean,selected_gamma_mse_gain,0.10192939540300093,True
weather96_static_pat3,val,input_sq_mean,oracle_unit_mse_gain,-0.4449246669909039,True
weather96_static_pat3,val,input_sq_mean,oracle_eta2_mse_gain,0.15543955801210493,True
weather96_static_pat3,val,input_sq_mean,selected_gamma_mse_gain,0.10095032617859007,True
weather96_static_pat3,val,input_delta_abs_mean,oracle_unit_mse_gain,-0.037447893736125434,True
weather96_static_pat3,val,input_delta_abs_mean,oracle_eta2_mse_gain,0.1335914346231426,True
weather96_static_pat3,val,input_delta_abs_mean,selected_gamma_mse_gain,0.012037833180329527,True
weather96_static_pat3,val,static_mse_oracle,oracle_unit_mse_gain,0.001173329372520341,False
weather96_static_pat3,val,static_mse_oracle,oracle_eta2_mse_gain,0.2799396221418127,False
weather96_static_pat3,val,static_mse_oracle,selected_gamma_mse_gain,0.1840675720006359,False
weather96_static_pat3,val,static_mae_oracle,oracle_unit_mse_gain,-0.03003752936115846,False
weather96_static_pat3,val,static_mae_oracle,oracle_eta2_mse_gain,0.2664063001549148,False
weather96_static_pat3,val,static_mae_oracle,selected_gamma_mse_gain,0.2099275091390618,False
weather96_static_pat3,test,lambda_value,oracle_unit_mse_gain,-0.25303410761174283,True
weather96_static_pat3,test,lambda_value,oracle_eta2_mse_gain,0.05852925930766377,True
weather96_static_pat3,test,lambda_value,selected_gamma_mse_gain,0.12385269475858755,True
weather96_static_pat3,test,lambda_rank,oracle_unit_mse_gain,-0.25303410761174283,True
weather96_static_pat3,test,lambda_rank,oracle_eta2_mse_gain,0.05852925930766377,True
weather96_static_pat3,test,lambda_rank,selected_gamma_mse_gain,0.12385269475858755,True
weather96_static_pat3,test,gamma_selected,oracle_unit_mse_gain,0.009316885995401616,True
weather96_static_pat3,test,gamma_selected,oracle_eta2_mse_gain,0.09451369021954449,True
weather96_static_pat3,test,gamma_selected,selected_gamma_mse_gain,0.325943232594541,True
weather96_static_pat3,test,gamma_active,oracle_unit_mse_gain,0.008186708844562495,True
weather96_static_pat3,test,gamma_active,oracle_eta2_mse_gain,0.09092210170700016,True
weather96_static_pat3,test,gamma_active,selected_gamma_mse_gain,0.3155478901291986,True
weather96_static_pat3,test,dynamic_energy,oracle_unit_mse_gain,-0.8912409230042833,True
weather96_static_pat3,test,dynamic_energy,oracle_eta2_mse_gain,0.10605842649254162,True
weather96_static_pat3,test,dynamic_energy,selected_gamma_mse_gain,-0.004533651845852744,True
weather96_static_pat3,test,dynamic_abs_mean,oracle_unit_mse_gain,-0.8842624405632687,True
weather96_static_pat3,test,dynamic_abs_mean,oracle_eta2_mse_gain,0.09850302678964686,True
weather96_static_pat3,test,dynamic_abs_mean,selected_gamma_mse_gain,-0.00739134664953233,True
weather96_static_pat3,test,input_abs_mean,oracle_unit_mse_gain,-0.7836076270562536,True
weather96_static_pat3,test,input_abs_mean,oracle_eta2_mse_gain,0.09995025679613218,True
weather96_static_pat3,test,input_abs_mean,selected_gamma_mse_gain,0.026584572639392717,True
weather96_static_pat3,test,input_sq_mean,oracle_unit_mse_gain,-0.7434906897179755,True
weather96_static_pat3,test,input_sq_mean,oracle_eta2_mse_gain,0.11425887456156969,True
weather96_static_pat3,test,input_sq_mean,selected_gamma_mse_gain,0.05517500132274532,True
weather96_static_pat3,test,input_delta_abs_mean,oracle_unit_mse_gain,0.019579073346200623,True
