feature,coef_standardized,abs_coef,train_mean,train_std
dynamic_energy_target,-0.5788204134059018,0.5788204134059018,0.22256923721752103,1.3343797165399427
dynamic_abs_mean_target,0.5715797476790528,0.5715797476790528,0.23762564315707901,0.38816678884210176
input_abs_mean,-0.2694490651367391,0.2694490651367391,0.5749703788469379,0.16280232072829912
alpha_shrunk,-0.1712951426302568,0.1712951426302568,0.6361727388868095,0.130502579612027
reliability,-0.15292254741951605,0.15292254741951605,0.47971161959189274,0.22054353772424326
input_sq_mean,-0.11728198962859161,0.11728198962859161,0.8000343763223593,0.9158152972039209
gamma_active,0.0783084403005728,0.0783084403005728,0.2,0.40000184036290976
gamma_selected,0.07130541552039579,0.07130541552039579,0.005693438078058464,0.013756425521567694
input_delta_abs_mean,0.045799770443393686,0.045799770443393686,0.061839365592397354,0.022126327004920787
lambda_rank,0.028329659381967385,0.028329659381967385,0.500096618357488,0.288676431895659
