model,split,top_frac,top_n,pred_gain_mean_top,oracle_gain_mean_top,oracle_gain_mean_all,positive_rate_top,positive_rate_all,worst_5pct_gain_mean_top,worst_5pct_gain_mean_all,p05_gain_top,p05_gain_all,positive_gain_capture_share
huber,val,0.01,1087,0.0007656481832563344,0.0,-0.18377700982035183,0.0,0.12895330112721418,0.0,-2.633332545416329,0.0,-1.0500237276991051,0.0
huber,val,0.05,5434,0.0006135432544807165,-4.620565244267424e-09,-0.18377700982035183,0.0001840264998159735,0.12895330112721418,-3.725852197509015e-07,-2.633332545416329,0.0,-1.0500237276991051,2.1304667509710776e-08
huber,val,0.1,10868,0.0005271000661370971,-5.664821723898966e-08,-0.18377700982035183,0.0008281192491718807,0.12895330112721418,-6.608283474122482e-06,-2.633332545416329,0.0,-1.0500237276991051,8.307364341308869e-07
huber,val,0.2,21735,0.00041708166982025387,4.0205210946276444e-07,-0.18377700982035183,0.0025764895330112722,0.12895330112721418,-1.5117678320850838e-05,-2.633332545416329,0.0,-1.0500237276991051,7.034441437465952e-06
huber,test,0.01,2193,0.0006571162363983479,0.0,-0.22852762747729266,0.0,0.08949772938666083,0.0,-2.2819774884145785,0.0,-1.1172005326187595,0.0
huber,test,0.05,10966,0.0005178231114002119,-2.2985923180009225e-07,-0.22852762747729266,0.00045595476928688675,0.08949772938666083,-1.870550791613139e-05,-2.2819774884145785,0.0,-1.1172005326187595,2.6486943982535576e-06
huber,test,0.1,21932,0.00042016609469011965,1.2774957277985629e-06,-0.22852762747729266,0.0007751231077877074,0.08949772938666083,-1.07723385331974e-05,-2.2819774884145785,0.0,-1.1172005326187595,1.3649645481466872e-05
huber,test,0.2,43865,0.00028579859173234143,3.09590378021658e-07,-0.22852762747729266,0.0007751054371366693,0.08949772938666083,-2.9095320783984667e-05,-2.2819774884145785,0.0,-1.1172005326187595,2.6516549255733867e-05
ridge,val,0.01,1087,0.11988497883740382,-0.005777391035930065,-0.18377700982035183,0.07635694572217111,0.12895330112721418,-0.19775335063378674,-2.633332545416329,-0.015816369184698104,-1.0500237276991051,0.0012391843214323958
ridge,val,0.05,5434,0.047009403189395685,-0.04884064136907737,-0.18377700982035183,0.1680161943319838,0.12895330112721418,-0.8214377526521147,-2.633332545416329,-0.32943869885528254,-1.0500237276991051,0.0328866681570198
ridge,val,0.1,10868,0.021187955388133527,-0.040259445729918936,-0.18377700982035183,0.19258373205741627,0.12895330112721418,-0.6480035487511606,-2.633332545416329,-0.22842436833750984,-1.0500237276991051,0.06353714367490423
ridge,val,0.2,21735,-6.446718394114032e-05,-0.029784952279279468,-0.18377700982035183,0.20722337244076375,0.12895330112721418,-0.49074163914341207,-2.633332545416329,-0.1958813651886863,-1.0500237276991051,0.13005644583478615
ridge,test,0.01,2193,0.013881606720641754,-0.04882881687062968,-0.22852762747729266,0.2111263109895121,0.08949772938666083,-0.4573549759828408,-2.2819774884145785,-0.20705438985167146,-1.1172005326187595,0.007782132511463284
ridge,test,0.05,10966,-0.007384223908393544,-0.04084012286017405,-0.22852762747729266,0.23463432427503192,0.08949772938666083,-0.4244769268213103,-2.2819774884145785,-0.2240955222611976,-1.1172005326187595,0.052170166781096934
ridge,test,0.1,21932,-0.01832172658784569,-0.03222456476435945,-0.22852762747729266,0.2488601130767828,0.08949772938666083,-0.3906788775676645,-2.2819774884145785,-0.21266305275300207,-1.1172005326187595,0.12295916916422943
ridge,test,0.2,43865,-0.032050554713016044,-0.028393394238651296,-0.22852762747729266,0.21721190014818192,0.08949772938666083,-0.3633473668240402,-2.2819774884145785,-0.2021558280227004,-1.1172005326187595,0.21743765210012195
