model,split,rank_bin,rank_bin_label,n,pred_gain_mean,pred_gain_min,pred_gain_max,oracle_gain_mean,positive_rate,nonzero_dynamic_rate,worst_5pct_gain_mean,p05_gain,p50_gain,p95_gain
huber,val,1,top_0_10pct,518,-0.030372779045599464,-0.04133657244099043,0.007404166485258851,-0.03461964280476972,0.023166023166023165,1.0,-0.10732237507833672,-0.07328569250090664,-0.0306187060273848,-0.00441164834206464
huber,val,2,top_10_20pct,518,-0.04897415371519198,-0.05662222525112531,-0.04138500894741609,-0.04688119934365579,0.04826254826254826,1.0,-0.10394497646865693,-0.09301244022770566,-0.04814292445148825,-0.0026994791345080803
huber,val,3,top_20_30pct,518,-0.06542205981751614,-0.07446081622248304,-0.05663913945069024,-0.05936502741404772,0.04247104247104247,1.0,-0.13376405640876338,-0.11266730639737058,-0.05909098722914035,-0.008823763279381275
huber,val,4,top_30_40pct,518,-0.08413185043265504,-0.09363366502436292,-0.07452086025285659,-0.07319856384742884,0.09073359073359073,1.0,-0.16961025578656072,-0.1470095120991369,-0.08311671428113315,0.07199882669657702
huber,val,5,top_40_50pct,518,-0.1029763275730652,-0.11290000612573345,-0.09366717382412522,-0.09766020765604674,0.06563706563706563,1.0,-0.2056469245210635,-0.18201580892438368,-0.1102102751517236,0.03326388973551243
huber,val,6,top_50_60pct,517,-0.13088670712139544,-0.1505076150802072,-0.11293993930108703,-0.10774383985756343,0.09090909090909091,1.0,-0.29027914321717374,-0.2501185378323582,-0.1265948833097892,0.10170481940520276
huber,val,7,top_60_70pct,517,-0.17692128340244542,-0.20309545002382756,-0.15051146037327348,-0.1725430033963455,0.05222437137330754,1.0,-0.41555986010616397,-0.3473546163815461,-0.1783597528395827,0.009796883432371017
huber,val,8,top_70_80pct,517,-0.24547630542187437,-0.28855330563409076,-0.2031169818471817,-0.26010693721895767,0.05609284332688588,1.0,-0.5970503389833868,-0.4639110495302729,-0.2808815516440885,0.0071221201077894866
huber,val,9,top_80_90pct,517,-0.3435389299309586,-0.41470068784936637,-0.28859096060309214,-0.2910359499688023,0.10638297872340426,1.0,-0.6222356231595593,-0.5188421304377365,-0.3280451571834554,0.07626709675858588
huber,val,10,top_90_100pct,517,-0.7710450719130499,-5.801426945222366,-0.41553051116147566,-0.6957901182008048,0.0735009671179884,1.0,-3.8259055992158855,-2.477627299940542,-0.527806421577436,0.1067307002129253
huber,test,1,top_0_10pct,1045,-0.02400898787725319,-0.03821744337306568,0.025647561779861966,-0.029776445001406457,0.11196172248803828,1.0,-0.11622808277711873,-0.08253497703184964,-0.025619364523669,0.010810910420620677
huber,test,2,top_10_20pct,1045,-0.05061050229000725,-0.06499880860144147,-0.038245781548625235,-0.052215620814394875,0.08995215311004785,1.0,-0.13740626280060725,-0.11576191732881476,-0.051652755987476,0.006830635585333538
huber,test,3,top_20_30pct,1045,-0.0846515400808201,-0.10323211338990912,-0.06502911408103482,-0.08107929475392803,0.06315789473684211,1.0,-0.19551539030383625,-0.16431496187340897,-0.0861702281106813,0.0028274362112343837
huber,test,4,top_30_40pct,1045,-0.1255302963842234,-0.14912556543482558,-0.10327215639748051,-0.1212741325684787,0.044976076555023926,1.0,-0.2663419859858471,-0.23487905376236123,-0.1267605580630957,-0.001977237426765554
huber,test,5,top_40_50pct,1044,-0.1749702023607262,-0.20025020341943112,-0.14912580524342395,-0.16598028993722536,0.02490421455938697,1.0,-0.27938687659488187,-0.26148118070197635,-0.1743210486403015,-0.03875537099189891
huber,test,6,top_50_60pct,1044,-0.22589451733094584,-0.2524952868894269,-0.20026356886976815,-0.19704177163574657,0.011494252873563218,1.0,-0.3361234235309335,-0.31092942547627717,-0.19844640308674605,-0.09103538111831373
huber,test,7,top_60_70pct,1044,-0.2770048542878741,-0.3018303420783828,-0.25256741138112104,-0.24967833331659925,0.02586206896551724,1.0,-0.4080060590039748,-0.3747678253640745,-0.2525683691585639,-0.13765812297049831
huber,test,8,top_70_80pct,1044,-0.3339976742022881,-0.37565982907892226,-0.3019091426075712,-0.31922874618340336,0.004789272030651341,1.0,-0.5710346020832667,-0.49119061452527246,-0.3142380451980294,-0.16315876802112927
huber,test,9,top_80_90pct,1044,-0.426416417690581,-0.484333818585773,-0.37569645878464947,-0.4275955580964739,0.0009578544061302681,1.0,-0.7823823189999503,-0.6730263886374683,-0.41609522250532954,-0.23634197003747276
huber,test,10,top_90_100pct,1044,-0.6666539672969883,-2.311122531746237,-0.48437482532697534,-0.6420093056614105,0.0,1.0,-1.7393915168994565,-1.4304386680388308,-0.5528558814742099,-0.29511889443929556
ridge,val,1,top_0_10pct,518,-0.035582720601495,-0.04435345238312094,0.19366011764976543,-0.046832025575800025,0.03861003861003861,1.0,-0.23021111043686854,-0.1443744071814534,-0.036998223988712,-0.003007400372663711
ridge,val,2,top_10_20pct,518,-0.050612701214036125,-0.056804349077935634,-0.04437709519813007,-0.047301603414578175,0.06563706563706563,1.0,-0.1572488960809745,-0.10863257864210507,-0.0468884305693652,0.006493423125379592
ridge,val,3,top_20_30pct,518,-0.06214570897809579,-0.06817264962322356,-0.056809735669496375,-0.05991225508968232,0.05405405405405406,1.0,-0.21375962646667618,-0.14170140867764164,-0.0547573773458286,0.0018905251503081241
ridge,val,4,top_30_40pct,518,-0.07482902773991308,-0.0823014714908804,-0.0682031739298331,-0.07051029127031579,0.06563706563706563,1.0,-0.23572628336098436,-0.13310863053060873,-0.0755347688124345,0.023179995978616485
ridge,val,5,top_40_50pct,518,-0.09063611996522226,-0.09914921610012709,-0.08232465444359974,-0.09106427010007334,0.07915057915057915,1.0,-0.21063866482946153,-0.17641583165114075,-0.09989418862961805,0.05863593955953122
ridge,val,6,top_50_60pct,517,-0.11324783727099558,-0.13130942090038822,-0.0991741263738956,-0.11077281453496672,0.07736943907156674,1.0,-0.32878442716725587,-0.2555391314479681,-0.124842822357537,0.08310412476837953
ridge,val,7,top_60_70pct,517,-0.15271408045682375,-0.1757288716332989,-0.13135941973379894,-0.17425387466409695,0.03288201160541586,1.0,-0.4403736554739669,-0.36522415401029257,-0.1680119498883023,-0.04335528202846282
ridge,val,8,top_70_80pct,517,-0.2128039294028581,-0.2536472907787898,-0.17578938149752743,-0.24525383050436786,0.06963249516441006,1.0,-0.6169671770080691,-0.43333292224608677,-0.2593690935198282,0.04398615287788804
ridge,val,9,top_80_90pct,517,-0.30637496368441236,-0.37232344023180575,-0.25365944473510804,-0.29664411085788894,0.10058027079303675,1.0,-0.6335973001539051,-0.5194524853285007,-0.3302924296318159,0.058627946652958625
ridge,val,10,top_90_100pct,517,-0.7399933740165575,-6.667919065314974,-0.3728976803681865,-0.6963918782916535,0.06576402321083172,1.0,-3.8259055992158855,-2.477627299940542,-0.5228861765878453,0.059224006816766865
ridge,test,1,top_0_10pct,1045,-0.036345041826196404,-0.04536692107858337,-0.0022456207562409625,-0.030762588832455383,0.12344497607655502,1.0,-0.1260576381276318,-0.08746152427266797,-0.0276041506830933,0.013997316978745317
ridge,test,2,top_10_20pct,1045,-0.053590237932528616,-0.06530506206697045,-0.045369354357599256,-0.05309944612141679,0.08325358851674641,1.0,-0.14679580702232642,-0.12098289234689746,-0.0515922089137944,0.006238366444573515
ridge,test,3,top_20_30pct,1045,-0.08030376048910902,-0.09396093832637367,-0.0653376861548326,-0.08140369538804264,0.06028708133971292,1.0,-0.19984353977232316,-0.16488087100802012,-0.0851825485276741,0.001372408071781985
ridge,test,4,top_30_40pct,1045,-0.1112779440540371,-0.13048948695582435,-0.09399054124881966,-0.11896217425822549,0.0430622009569378,1.0,-0.2649110564162705,-0.23667581904226606,-0.1248628578203844,-0.002410557845892543
ridge,test,5,top_40_50pct,1044,-0.1530223160401165,-0.17485260066490282,-0.13050801786552874,-0.1719952037280108,0.01532567049808429,1.0,-0.2815506587395683,-0.26492879682341547,-0.17857164325447125,-0.05376876907731594
ridge,test,6,top_50_60pct,1044,-0.19676706118775192,-0.2203373896707378,-0.17487413087504391,-0.1891633308512063,0.020114942528735632,1.0,-0.3225358066167606,-0.2976759310134145,-0.1953486263225706,-0.06345984643677753
ridge,test,7,top_60_70pct,1044,-0.24267335123677067,-0.2653668443262224,-0.22043328179260835,-0.25062732881913946,0.02586206896551724,1.0,-0.409892482395841,-0.38063244894333703,-0.2533792350985607,-0.13122649608726916
ridge,test,8,top_70_80pct,1044,-0.29467804341105625,-0.33273797427794355,-0.2654071248001313,-0.32256686945864765,0.005747126436781609,1.0,-0.5707861479116046,-0.49585455417352897,-0.31534508369495484,-0.17242869524498852
ridge,test,9,top_80_90pct,1044,-0.3815121087465566,-0.43639352998059305,-0.33274426789625366,-0.42326729859393347,0.0009578544061302681,1.0,-0.7629813671159646,-0.6541908669609814,-0.4150549590649202,-0.2287073565181738
ridge,test,10,top_90_100pct,1044,-0.6381004666529415,-2.5713700034677456,-0.4364634123210878,-0.6440316745506882,0.0,1.0,-1.7393915168994565,-1.4304386680388308,-0.5534447810348031,-0.3068969388544269
