F1,FN,FP,K_true_change,Prec,Rec,SHD,TP,is_true_change,lag0,lag1,mask,prefix,rank,score,score_type,src,tgt,true_base_w_star,true_delta_w_star,true_lag_star,true_lags_detail,true_new_w_star,v0_signed,v1_signed
,,,,,,,,0,2,2,TRUE-mask,cmiknn,1,0.10824135690927505,magdiff,1,3,,,,,,0.1316141039133072,0.023372745141386986
,,,,,,,,0,2,2,TRUE-mask,cmiknn,2,0.09089431166648865,magdiff,7,0,,,,,,0.09812886267900467,0.00723454961553216
,,,,,,,,1,1,1,TRUE-mask,cmiknn,3,0.07997579127550125,magdiff,1,2,-0.3943440914154053,-0.5915161371231079,1,"lag1:base-0.3943,d-0.5915,new-0.9859",-0.9858602285385132,0.014974393881857395,0.09495018422603607
,,,,,,,,1,2,2,TRUE-mask,cmiknn,4,0.06005779281258583,magdiff,2,8,-0.5853496193885803,-0.8780244588851929,2,"lag2:base-0.5853,d-0.8780,new-1.4634",-1.463374137878418,0.005996990483254194,0.06605478376150131
,,,,,,,,1,1,1,TRUE-mask,cmiknn,5,0.04471694305539131,magdiff,3,0,0.49042901396751404,-1.7165015935897827,1,"lag1:base+0.4904,d-1.7165,new-1.2261",-1.2260725498199463,0.10540448129177094,0.06068753823637962
,,,,,,,,1,1,1,TRUE-mask,cmiknn,6,0.03973745182156563,magdiff,8,1,0.4711083769798279,0.7066625356674194,1,"lag1:base+0.4711,d+0.7067,new+1.1778",1.1777708530426025,0.05968651548027992,0.09942396730184555
0.6666666666660555,2,2,6,0.6666666666665555,0.6666666666665555,4,4,,,,TRUE-mask,cmiknn,0,,magdiff,,,,,,,,,
,,,,,,,,1,1,1,TRUE-mask,cmiknn,1,0.0,signflip,8,3,0.28806328773498535,0.432094931602478,1,"lag1:base+0.2881,d+0.4321,new+0.7202",0.7201582193374634,0.04428725317120552,0.06409049034118652
,,,,,,,,1,1,1,TRUE-mask,cmiknn,2,0.0,signflip,3,0,0.49042901396751404,-1.7165015935897827,1,"lag1:base+0.4904,d-1.7165,new-1.2261",-1.2260725498199463,0.10540448129177094,0.06068753823637962
,,,,,,,,0,1,1,TRUE-mask,cmiknn,3,0.0,signflip,7,8,,,,,,0.008682134561240673,0.006440514698624611
,,,,,,,,0,1,1,TRUE-mask,cmiknn,4,0.0,signflip,7,9,,,,,,0.022041238844394684,0.03676430135965347
,,,,,,,,0,1,1,TRUE-mask,cmiknn,5,0.0,signflip,5,6,,,,,,0.08095302432775497,0.0671088844537735
,,,,,,,,1,1,1,TRUE-mask,cmiknn,6,0.0,signflip,8,1,0.4711083769798279,0.7066625356674194,1,"lag1:base+0.4711,d+0.7067,new+1.1778",1.1777708530426025,0.05968651548027992,0.09942396730184555
0.4999999999994167,3,3,6,0.4999999999999167,0.4999999999999167,6,3,,,,TRUE-mask,cmiknn,0,,signflip,,,,,,,,,
,,,,,,,,0,2,2,PRED-mask,cmiknn,1,0.10824135690927505,magdiff,1,3,,,,,,0.1316141039133072,0.023372745141386986
,,,,,,,,1,1,1,PRED-mask,cmiknn,2,0.07997579127550125,magdiff,1,2,-0.3943440914154053,-0.5915161371231079,1,"lag1:base-0.3943,d-0.5915,new-0.9859",-0.9858602285385132,0.014974393881857395,0.09495018422603607
,,,,,,,,1,1,1,PRED-mask,cmiknn,3,0.04471694305539131,magdiff,3,0,0.49042901396751404,-1.7165015935897827,1,"lag1:base+0.4904,d-1.7165,new-1.2261",-1.2260725498199463,0.10540448129177094,0.06068753823637962
,,,,,,,,1,1,1,PRED-mask,cmiknn,4,0.03973745182156563,magdiff,8,1,0.4711083769798279,0.7066625356674194,1,"lag1:base+0.4711,d+0.7067,new+1.1778",1.1777708530426025,0.05968651548027992,0.09942396730184555
,,,,,,,,1,1,1,PRED-mask,cmiknn,5,0.032883159816265106,magdiff,5,2,0.39451879262924194,-1.3808157444000244,1,"lag1:base+0.3945,d-1.3808,new-0.9863",-0.9862969517707825,0.017993541434407234,0.05087670311331749
,,,,,,,,1,1,1,PRED-mask,cmiknn,6,0.019803237169981003,magdiff,8,3,0.28806328773498535,0.432094931602478,1,"lag1:base+0.2881,d+0.4321,new+0.7202",0.7201582193374634,0.04428725317120552,0.06409049034118652
0.8333333333326944,1,1,6,0.8333333333331945,0.8333333333331945,2,5,,,,PRED-mask,cmiknn,0,,magdiff,,,,,,,,,
,,,,,,,,0,2,2,PRED-mask,cmiknn,1,0.0,signflip,1,3,,,,,,0.1316141039133072,0.023372745141386986
,,,,,,,,0,1,1,PRED-mask,cmiknn,2,0.0,signflip,5,6,,,,,,0.08095302432775497,0.0671088844537735
,,,,,,,,0,2,2,PRED-mask,cmiknn,3,0.0,signflip,4,6,,,,,,0.023192407563328743,0.02277921698987484
,,,,,,,,1,1,1,PRED-mask,cmiknn,4,0.0,signflip,3,0,0.49042901396751404,-1.7165015935897827,1,"lag1:base+0.4904,d-1.7165,new-1.2261",-1.2260725498199463,0.10540448129177094,0.06068753823637962
,,,,,,,,0,1,1,PRED-mask,cmiknn,5,0.0,signflip,3,4,,,,,,0.026420526206493378,0.023078881204128265
,,,,,,,,0,1,1,PRED-mask,cmiknn,6,0.0,signflip,7,9,,,,,,0.022041238844394684,0.03676430135965347
0.16666666666613889,5,5,6,0.16666666666663887,0.16666666666663887,10,1,,,,PRED-mask,cmiknn,0,,signflip,,,,,,,,,
