lambda_config,deltaA_source,gate_type,tau,subset,subset_q,K_true_change,TP,FP,FN,Prec,Rec,F1,SHD,SHD_gain_vs_ungated,F1_delta_vs_ungated,mean_lambda_subset,mean_gate_weight_subset,real_TP,real_FP,real_FN,real_Prec,real_Rec,real_F1,real_SHD
"(50,3)",valdiff_on_base_cmiknn_topK6,ungated,,high,"high_q=0.90,low_q=0.50",6,4.0,2.0,2.0,0.6666666666665555,0.6666666666665555,0.6666666666660555,4.0,,,1.0,1.0,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,ungated,,low,"high_q=0.90,low_q=0.50",6,4.0,2.0,2.0,0.6666666666665555,0.6666666666665555,0.6666666666660555,4.0,,,0.1057664230465889,1.0,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,ungated,,all,"high_q=0.90,low_q=0.50",6,4.0,2.0,2.0,0.6666666666665555,0.6666666666665555,0.6666666666660555,4.0,,,0.34208929538726807,1.0,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,hard,0.7,high,"high_q=0.90,low_q=0.50",6,0.0,0.0,6.0,0.0,0.0,0.0,6.0,-2.0,,1.0,0.0,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,hard,0.7,low,"high_q=0.90,low_q=0.50",6,4.0,2.0,2.0,0.6666666666665555,0.6666666666665555,0.6666666666660555,4.0,,0.0,0.1057664230465889,1.0,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,hard,0.7,all,"high_q=0.90,low_q=0.50",6,3.40245336918165,1.701226684590825,2.59754663081835,0.6666666666665361,0.5670755615301805,0.6128514785550392,4.298773315409175,-0.29877331540917496,-0.053815188111016266,0.34208929538726807,0.8506133422954125,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,hard,0.8,high,"high_q=0.90,low_q=0.50",6,0.0,0.0,6.0,0.0,0.0,0.0,6.0,-2.0,,1.0,0.0,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,hard,0.8,low,"high_q=0.90,low_q=0.50",6,4.0,2.0,2.0,0.6666666666665555,0.6666666666665555,0.6666666666660555,4.0,,0.0,0.1057664230465889,1.0,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,hard,0.8,all,"high_q=0.90,low_q=0.50",6,3.490505797344984,1.745252898672492,2.509494202655016,0.6666666666665393,0.5817509662240671,0.6213208901645029,4.254747101327508,-0.2547471013275082,-0.04534577650155258,0.34208929538726807,0.872626449336246,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,hard,0.9,high,"high_q=0.90,low_q=0.50",6,0.0,0.0,6.0,0.0,0.0,0.0,6.0,-2.0,,1.0,0.0,0,0,6,0.0,0.0,0.0,6
