t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.821643
50,0.822177
51,0.838754
52,0.851518
53,0.714738
54,0.730003
55,0.724535
56,0.746372
57,0.745087
58,0.751193
59,0.766584
60,0.801947
61,0.806408
62,0.848765
63,0.830875
64,0.796446
65,0.764641
66,0.731852
67,0.698688
68,0.695630
69,0.671785
70,0.674928
71,0.720112
72,0.749539
73,0.783338
74,0.794801
75,0.854664
76,0.901365
77,0.921166
78,0.917166
79,0.921150
80,0.930652
81,0.933650
82,0.936112
83,0.927045
84,0.944697
85,0.952154
86,0.968099
87,0.956944
88,0.956731
89,0.973680
90,0.998856
91,0.990913
92,0.957843
93,0.962211
94,0.964964
95,0.962478
96,0.942911
97,0.949659
98,0.955371
99,0.940432
100,0.932992
101,0.963880
102,0.991059
103,1.000000
104,1.000000
105,1.000000
106,1.000000
107,1.000000
108,1.000000
109,1.000000
110,1.000000
111,1.000000
112,1.000000
113,0.988031
114,0.967825
115,0.990515
116,0.997669
117,0.998662
118,1.000000
119,0.986288
120,1.000000
121,1.000000
122,1.000000
123,1.000000
124,1.000000
125,1.000000
126,0.989302
127,0.970426
128,0.974372
129,0.973091
130,0.963224
131,0.923782
132,0.904325
133,0.889528
134,0.861700
135,0.887076
136,0.922054
137,0.974087
138,1.000000
139,1.000000
140,1.000000
141,1.000000
142,1.000000
143,1.000000
144,1.000000
145,1.000000
146,1.000000
147,1.000000
148,1.000000
149,1.000000
150,1.000000
151,1.000000
152,1.000000
153,1.000000
154,1.000000
155,1.000000
156,1.000000
157,1.000000
158,1.000000
159,1.000000
160,1.000000
161,1.000000
162,1.000000
163,1.000000
164,1.000000
165,1.000000
166,1.000000
167,1.000000
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,1.000000
174,1.000000
175,1.000000
176,1.000000
177,1.000000
178,1.000000
179,1.000000
180,1.000000
181,1.000000
182,1.000000
183,1.000000
184,1.000000
185,1.000000
186,1.000000
187,1.000000
188,1.000000
189,0.989262
190,0.926530
191,0.907161
192,0.910137
193,0.912729
194,0.901913
195,0.920279
196,0.905766
197,0.904590
198,0.932912
199,0.933077
200,0.919320
201,0.916993
202,0.933516
203,0.935967
204,0.936899
205,0.924703
206,0.984123
207,0.946893
208,0.957476
209,0.960018
210,0.950890
211,0.925953
212,0.874131
213,0.870164
214,0.874819
