lambda_strategy,run_type,control_family,subset,count,mean_lambda,mean_gate_weight,mean_dist_base,mean_dist_reg0,mean_dist_reg1,mean_retained_ratio
lambda_block_shuffle_100,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356421589851379,0.1152937263250351,0.8356421589851379,0.12124237418174744
lambda_block_shuffle_100,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265174,0.11717633903026581,0.8337596654891968,0.11717633903026581,0.8767778873443604
lambda_block_shuffle_100,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402253,0.37578725814819336,0.5751486420631409,0.37578725814819336,0.6048238277435303
lambda_block_shuffle_100,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356421589851379,0.1152937263250351,0.8356421589851379,0.12124237418174744
lambda_block_shuffle_100,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265174,0.11717633903026581,0.8337596654891968,0.11717633903026581,0.8767778873443604
lambda_block_shuffle_100,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402253,0.37578725814819336,0.5751486420631409,0.37578725814819336,0.6048238277435303
lambda_block_shuffle_100,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356421589851379,0.1152937263250351,0.8356421589851379,0.12124237418174744
lambda_block_shuffle_100,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265174,0.11717633903026581,0.8337596654891968,0.11717633903026581,0.8767778873443604
lambda_block_shuffle_100,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402253,0.37578725814819336,0.5751486420631409,0.37578725814819336,0.6048238277435303
lambda_block_shuffle_100,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356421589851379,0.1152937263250351,0.8356421589851379,0.12124237418174744
lambda_block_shuffle_100,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265174,0.11717633903026581,0.8337596654891968,0.11717633903026581,0.8767778873443604
lambda_block_shuffle_100,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402253,0.37578725814819336,0.5751486420631409,0.37578725814819336,0.6048238277435303
lambda_block_shuffle_100,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356421589851379,0.1152937263250351,0.8356421589851379,0.12124237418174744
lambda_block_shuffle_100,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265174,0.11717633903026581,0.8337596654891968,0.11717633903026581,0.8767778873443604
lambda_block_shuffle_100,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402253,0.37578725814819336,0.5751486420631409,0.37578725814819336,0.6048238277435303
lambda_block_shuffle_200,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356422185897827,0.11529373377561569,0.8356422185897827,0.12124237418174744
lambda_block_shuffle_200,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265175,0.117176353931427,0.8337596654891968,0.117176353931427,0.8767779469490051
lambda_block_shuffle_200,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_200,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356422185897827,0.11529373377561569,0.8356422185897827,0.12124237418174744
lambda_block_shuffle_200,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265175,0.117176353931427,0.8337596654891968,0.117176353931427,0.8767779469490051
lambda_block_shuffle_200,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_200,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356422185897827,0.11529373377561569,0.8356422185897827,0.12124237418174744
lambda_block_shuffle_200,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265175,0.117176353931427,0.8337596654891968,0.117176353931427,0.8767779469490051
lambda_block_shuffle_200,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_200,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356422185897827,0.11529373377561569,0.8356422185897827,0.12124237418174744
lambda_block_shuffle_200,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265175,0.117176353931427,0.8337596654891968,0.117176353931427,0.8767779469490051
lambda_block_shuffle_200,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_200,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356422185897827,0.11529373377561569,0.8356422185897827,0.12124237418174744
lambda_block_shuffle_200,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265175,0.117176353931427,0.8337596654891968,0.117176353931427,0.8767779469490051
lambda_block_shuffle_200,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_500,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356422185897827,0.1152937188744545,0.8356422185897827,0.12124238908290863
lambda_block_shuffle_500,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265175,0.11717633903026581,0.8337595462799072,0.11717633903026581,0.8767778873443604
lambda_block_shuffle_500,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_500,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356422185897827,0.1152937188744545,0.8356422185897827,0.12124238908290863
lambda_block_shuffle_500,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265175,0.11717633903026581,0.8337595462799072,0.11717633903026581,0.8767778873443604
lambda_block_shuffle_500,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_500,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356422185897827,0.1152937188744545,0.8356422185897827,0.12124238908290863
lambda_block_shuffle_500,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265175,0.11717633903026581,0.8337595462799072,0.11717633903026581,0.8767778873443604
lambda_block_shuffle_500,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_500,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356422185897827,0.1152937188744545,0.8356422185897827,0.12124238908290863
lambda_block_shuffle_500,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265175,0.11717633903026581,0.8337595462799072,0.11717633903026581,0.8767778873443604
lambda_block_shuffle_500,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_500,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865524,0.8356422185897827,0.1152937188744545,0.8356422185897827,0.12124238908290863
lambda_block_shuffle_500,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265175,0.11717633903026581,0.8337595462799072,0.11717633903026581,0.8767778873443604
lambda_block_shuffle_500,negative_control,block_shuffle,all,5961,0.39517620745977466,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_50,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865526,0.8356421589851379,0.1152937263250351,0.8356421589851379,0.12124238908290863
lambda_block_shuffle_50,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265174,0.117176353931427,0.8337595462799072,0.117176353931427,0.8767778873443604
lambda_block_shuffle_50,negative_control,block_shuffle,all,5961,0.3951762074597748,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_50,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865526,0.8356421589851379,0.1152937263250351,0.8356421589851379,0.12124238908290863
lambda_block_shuffle_50,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265174,0.117176353931427,0.8337595462799072,0.117176353931427,0.8767778873443604
lambda_block_shuffle_50,negative_control,block_shuffle,all,5961,0.3951762074597748,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_50,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865526,0.8356421589851379,0.1152937263250351,0.8356421589851379,0.12124238908290863
lambda_block_shuffle_50,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265174,0.117176353931427,0.8337595462799072,0.117176353931427,0.8767778873443604
lambda_block_shuffle_50,negative_control,block_shuffle,all,5961,0.3951762074597748,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_50,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865526,0.8356421589851379,0.1152937263250351,0.8356421589851379,0.12124238908290863
lambda_block_shuffle_50,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265174,0.117176353931427,0.8337595462799072,0.117176353931427,0.8767778873443604
lambda_block_shuffle_50,negative_control,block_shuffle,all,5961,0.3951762074597748,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_block_shuffle_50,negative_control,block_shuffle,high_non_sat,537,0.8787576277413448,0.12124237225865526,0.8356421589851379,0.1152937263250351,0.8356421589851379,0.12124238908290863
lambda_block_shuffle_50,negative_control,block_shuffle,low,2981,0.12322213297348257,0.8767778670265174,0.117176353931427,0.8337595462799072,0.117176353931427,0.8767778873443604
lambda_block_shuffle_50,negative_control,block_shuffle,all,5961,0.3951762074597748,0.6048237925402252,0.37578722834587097,0.5751486420631409,0.37578722834587097,0.6048238277435303
lambda_constant_05,negative_control,constant,high_non_sat,5961,0.5,0.5,0.4754679799079895,0.4754679799079895,0.4754679799079895,0.5000000596046448
lambda_constant_05,negative_control,constant,low,5961,0.5,0.5,0.4754679799079895,0.4754679799079895,0.4754679799079895,0.5000000596046448
lambda_constant_05,negative_control,constant,all,5961,0.5,0.5,0.4754679799079895,0.4754679799079895,0.4754679799079895,0.5000000596046448
lambda_constant_05,negative_control,constant,high_non_sat,5961,0.5,0.5,0.4754679799079895,0.4754679799079895,0.4754679799079895,0.5000000596046448
lambda_constant_05,negative_control,constant,low,5961,0.5,0.5,0.4754679799079895,0.4754679799079895,0.4754679799079895,0.5000000596046448
lambda_constant_05,negative_control,constant,all,5961,0.5,0.5,0.4754679799079895,0.4754679799079895,0.4754679799079895,0.5000000596046448
lambda_constant_05,negative_control,constant,high_non_sat,5961,0.5,0.5,0.4754679799079895,0.4754679799079895,0.4754679799079895,0.5000000596046448
lambda_constant_05,negative_control,constant,low,5961,0.5,0.5,0.4754679799079895,0.4754679799079895,0.4754679799079895,0.5000000596046448
lambda_constant_05,negative_control,constant,all,5961,0.5,0.5,0.4754679799079895,0.4754679799079895,0.4754679799079895,0.5000000596046448
lambda_constant_05,negative_control,constant,high_non_sat,5961,0.5,0.5,0.4754679799079895,0.4754679799079895,0.4754679799079895,0.5000000596046448
