lambda_strategy,run_type,control_family,gate_direction,high_closer_A0,low_closer_A1,align_overall,margin_pre,margin_post,retained_gap,pre_correct_rate,post_correct_rate,directional_align_pre,directional_align_post,directional_align_overall,switch_window,switch_pre_correct_rate,switch_post_correct_rate,switch_band_correct_rate,switch_margin_pre,switch_margin_post,corr_lambda_regime,corr_gate_regime,corr_retained_regime,auc_switch_lambda,auc_switch_gate,auc_switch_rel,peak_delay_lambda,peak_delay_gate,peak_delay_rel,corr_time_lambda_switch,corr_time_gate_switch,corr_time_retained_switch,retained_gap_switch,switch_band_pass,directional_align_pass,switch_margin_pass,peak_delay_pass,retained_gap_switch_pass,pass_core_checks,pass_core_checks_v2,pass_core_checks_v3
lambda_block_shuffle_100,negative_control,block_shuffle,True,True,True,0.5036128381784574,0.008240061812102795,0.011555420234799385,0.7302443385124207,0.35736412278231483,0.72,0.35736412278231483,0.72,0.5036128381784574,200,0.47,0.99,0.73,-0.010239646770060062,0.030576026067137718,-0.05420853505379367,0.05420853505379368,0.05420853519963831,0.5265708603210363,0.5265708603210363,0.5265708603210363,151.0,151.0,151.0,-0.22708429481359071,0.22708429481359071,0.22708430737100657,-0.22011107206344604,True,False,False,False,False,True,False,False
lambda_block_shuffle_200,negative_control,block_shuffle,True,True,True,0.5214249705931776,0.006755154114216566,0.01375246699899435,0.7302442789077759,0.3722894959166432,0.7420833333333333,0.3722894959166432,0.7420833333333333,0.5214249705931776,200,0.19,1.0,0.595,-0.013705196790397167,0.022738244384527206,-0.11441115841333983,0.11441115841333983,0.11441115796423729,0.5825204167840045,0.5825204167840045,0.5825204167840045,151.0,151.0,151.0,-0.1453183975860545,0.14531839758605455,0.14531839594311882,-0.09776932001113892,False,False,False,False,False,True,False,False
lambda_block_shuffle_50,negative_control,block_shuffle,True,True,True,0.5170559569820198,0.005155842285603285,0.016118783503770828,0.7302442640066147,0.36862855533652494,0.7366666666666667,0.36862855533652494,0.7366666666666667,0.5170559569820198,200,0.38,0.76,0.57,-0.0035843977238982916,0.02061992697417736,-0.17925204146891388,0.17925204146891388,0.1792520405523474,0.6107431592039801,0.6107431592039801,0.6107431592039801,149.0,149.0,149.0,-0.07456761187644523,0.07456761187644521,0.07456761185110074,-0.18438422679901123,False,False,False,False,False,True,False,False
lambda_block_shuffle_500,negative_control,block_shuffle,True,True,True,0.5439421945891447,0.005723334848880768,0.015279129147529602,0.7302443385124207,0.39115742044494506,0.77,0.39115742044494506,0.77,0.5439421945891447,200,0.49,0.895,0.6925,0.0010504042729735374,0.027302008122205734,-0.15624416790458392,0.15624416790458392,0.1562441690940037,0.5761906857223318,0.5761906857223318,0.5761906857223318,100.0,100.0,100.0,-0.521703372702753,0.521703372702753,0.5217033694759767,-0.3068726062774658,True,False,True,True,False,True,False,False
lambda_constant_05,negative_control,constant,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,200.0,200.0,200.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False
lambda_constant_10,negative_control,constant,False,False,False,0.5967064358931272,-0.04619573429226875,-0.04619573429226875,NaN,1.0,0.0,1.0,0.0,0.5967064358931272,200,1.0,0.0,0.5,0.04619573429226875,-0.04619573429226875,0.0,0.0,0.0,0.5,0.5,0.5,200.0,200.0,200.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False
lambda_shift_100,negative_control,shift,True,True,True,0.5630986388842212,0.005403469316661358,0.0157523974776268,0.7302442640066147,0.40720923683469445,0.79375,0.40720923683469445,0.79375,0.5630986388842212,200,0.99,0.145,0.5675,0.03294013813138008,-0.020908569917082787,-0.16921247888962182,0.1692124788896218,0.16921247965591396,0.5703653900309772,0.5703653900309772,0.5703653900309772,148.0,148.0,148.0,-0.5856434867356413,0.5856434867356413,0.5856434848129242,-0.13022379577159882,False,False,False,False,False,True,False,False
lambda_shift_1000,negative_control,shift,True,True,True,0.35304990757855825,0.016879087314009666,-0.0012267366982996464,0.7302442789077759,0.23120247817516193,0.5333333333333333,0.23120247817516193,0.5333333333333333,0.35304990757855825,200,0.0,0.24,0.12,-0.033114612102508545,-0.011102365329861641,0.29604336519944224,-0.2960433651994422,-0.2960433658485746,0.32554861306674177,0.32554861306674177,0.32554861306674177,70.0,70.0,70.0,0.7223070105582762,-0.7223070105582761,-0.7223070130719885,0.4785829186439514,False,False,False,True,True,True,False,False
lambda_shift_300,negative_control,shift,True,True,True,0.5157116451016636,0.007570203859359026,0.012546532787382603,0.7302442640066147,0.3675021120811039,0.735,0.3675021120811039,0.735,0.5157116451016636,200,0.75,0.01,0.38,0.016782622784376144,-0.03294013813138008,-0.08136659016098598,0.08136659016098599,0.08136659042654243,0.5351031399605745,0.5351031399605745,0.5351031399605745,111.0,111.0,111.0,0.41457393758431416,-0.4145739375843141,-0.4145739337914534,0.17488102614879608,False,False,False,False,True,True,False,False
lambda_shift_600,negative_control,shift,True,True,True,0.4652999495883045,0.010368704795837402,0.008405918255448341,0.7302442640066147,0.3252604900028161,0.6725,0.3252604900028161,0.6725,0.4652999495883045,200,0.995,0.75,0.8725,0.04442192241549492,0.01837470382452011,0.03209299090563367,-0.03209299090563368,-0.032092990403940064,0.4674502487562189,0.4674502487562189,0.4674502487562189,189.0,189.0,189.0,-0.6650045932507359,0.665004593250736,0.6650045952217297,-0.6796798817813396,True,False,True,False,False,True,False,False
