t,retained_ratio
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
10,nan
11,nan
12,nan
13,nan
14,nan
15,nan
16,nan
17,nan
18,nan
19,nan
20,nan
21,nan
22,nan
23,nan
24,nan
25,nan
26,nan
27,nan
28,nan
29,nan
30,nan
31,nan
32,nan
33,nan
34,nan
35,nan
36,nan
37,nan
38,nan
39,nan
40,nan
41,nan
42,nan
43,nan
44,nan
45,nan
46,nan
47,nan
48,nan
49,0.848219
50,0.848878
51,0.866819
52,0.880618
53,0.732625
54,0.749039
55,0.743832
56,0.766879
57,0.765031
58,0.770634
59,0.787824
60,0.824303
61,0.830697
62,0.876916
63,0.860195
64,0.823603
65,0.790469
66,0.756029
67,0.720913
68,0.717774
69,0.692513
70,0.695193
71,0.741704
72,0.771918
73,0.807327
74,0.817479
75,0.880634
76,0.928746
77,0.948442
78,0.943018
79,0.946790
80,0.956133
81,0.958449
82,0.960925
83,0.951026
84,0.970533
85,0.979355
86,0.997154
87,0.984774
88,0.984958
89,1.000000
90,1.000000
91,1.000000
92,0.985663
93,0.991349
94,0.994542
95,0.991150
96,0.971103
97,0.978441
98,0.986325
99,0.971476
100,0.963895
101,0.996919
102,1.000000
103,1.000000
104,1.000000
105,1.000000
106,1.000000
107,1.000000
108,1.000000
109,1.000000
110,1.000000
111,1.000000
112,1.000000
113,1.000000
114,1.000000
115,1.000000
116,1.000000
117,1.000000
118,1.000000
119,1.000000
120,1.000000
121,1.000000
122,1.000000
123,1.000000
124,1.000000
125,1.000000
126,1.000000
127,1.000000
128,1.000000
129,1.000000
130,1.000000
131,0.971683
132,0.951561
133,0.935182
134,0.904405
135,0.929916
136,0.965448
137,1.000000
138,1.000000
139,1.000000
140,1.000000
141,1.000000
142,1.000000
143,1.000000
144,1.000000
145,1.000000
146,1.000000
147,1.000000
148,1.000000
149,1.000000
150,1.000000
151,1.000000
152,1.000000
153,1.000000
154,1.000000
155,1.000000
156,1.000000
157,1.000000
158,1.000000
159,1.000000
160,1.000000
161,1.000000
162,1.000000
163,1.000000
164,1.000000
165,1.000000
166,1.000000
167,1.000000
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,1.000000
174,1.000000
175,1.000000
176,1.000000
177,1.000000
178,1.000000
179,1.000000
180,1.000000
181,1.000000
182,1.000000
183,1.000000
184,1.000000
185,1.000000
186,1.000000
187,1.000000
188,1.000000
189,1.000000
190,0.957771
191,0.935973
192,0.938891
193,0.940729
194,0.928805
195,0.947856
196,0.933062
197,0.932186
198,0.961616
199,0.961916
200,0.946085
201,0.943660
202,0.962274
203,0.965167
204,0.963110
205,0.949045
206,1.000000
207,0.972528
208,0.983269
209,0.985984
210,0.976964
211,0.949903
212,0.898139
213,0.893844
214,0.899708
215,0.916311
216,0.943905
217,0.946249
218,0.938994
219,0.929618
220,0.886484
221,0.852203
222,0.828374
223,0.837320
224,0.845912
225,0.848804
226,0.835025
227,0.832460
228,0.831318
229,0.866269
230,0.896742
231,0.885989
232,0.863671
233,0.833119
234,0.857720
235,0.885015
236,0.900031
237,0.908489
238,0.907652
239,0.883910
240,0.947552
241,0.969708
242,0.979594
243,1.000000
244,1.000000
245,1.000000
246,1.000000
247,1.000000
248,1.000000
249,1.000000
250,1.000000
251,1.000000
252,0.999168
253,0.971566
254,0.988183
255,0.978636
256,0.983990
257,0.972980
258,0.961286
259,0.958807
260,0.948669
261,0.974519
262,1.000000
263,1.000000
264,0.999612
265,1.000000
266,1.000000
267,1.000000
268,1.000000
