t,retained_ratio
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
10,nan
11,nan
12,nan
13,nan
14,nan
15,nan
16,nan
17,nan
18,nan
19,nan
20,nan
21,nan
22,nan
23,nan
24,nan
25,nan
26,nan
27,nan
28,nan
29,nan
30,nan
31,nan
32,nan
33,nan
34,nan
35,nan
36,nan
37,nan
38,nan
39,nan
40,nan
41,nan
42,nan
43,nan
44,nan
45,nan
46,nan
47,nan
48,nan
49,nan
50,nan
51,nan
52,nan
53,nan
54,nan
55,nan
56,nan
57,nan
58,nan
59,nan
60,nan
61,nan
62,nan
63,nan
64,nan
65,nan
66,nan
67,nan
68,nan
69,nan
70,nan
71,nan
72,nan
73,nan
74,nan
75,nan
76,nan
77,nan
78,nan
79,0.967936
80,0.989349
81,0.997889
82,1.000000
83,0.910324
84,0.939238
85,0.941225
86,0.946632
87,0.945952
88,0.942951
89,0.951945
90,0.945191
91,0.946826
92,0.936222
93,0.928227
94,0.910217
95,0.901567
96,0.887516
97,0.875198
98,0.867458
99,0.849281
100,0.850423
101,0.858145
102,0.898165
103,0.944477
104,0.947949
105,0.947644
106,0.954618
107,0.971675
108,0.972580
109,0.967943
110,0.964829
111,0.962895
112,0.952773
113,0.943210
114,0.935326
115,0.951750
116,0.932693
117,0.913893
118,0.919852
119,0.942484
120,0.957426
121,0.961410
122,0.997631
123,0.992218
124,0.990029
125,0.988588
126,0.991706
127,1.000000
128,1.000000
129,1.000000
130,1.000000
131,1.000000
132,1.000000
133,1.000000
134,1.000000
135,1.000000
136,1.000000
137,1.000000
138,1.000000
139,1.000000
140,1.000000
141,1.000000
142,1.000000
143,1.000000
144,1.000000
145,1.000000
146,1.000000
147,1.000000
148,1.000000
149,1.000000
150,1.000000
151,1.000000
152,1.000000
153,1.000000
154,1.000000
155,1.000000
156,1.000000
157,1.000000
158,1.000000
159,1.000000
160,1.000000
161,1.000000
162,1.000000
163,1.000000
164,1.000000
165,1.000000
166,1.000000
167,1.000000
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,1.000000
174,1.000000
175,1.000000
176,1.000000
177,1.000000
178,1.000000
179,1.000000
180,1.000000
181,1.000000
182,1.000000
183,1.000000
184,1.000000
185,1.000000
186,1.000000
187,1.000000
188,1.000000
189,1.000000
190,1.000000
191,1.000000
192,1.000000
193,1.000000
194,1.000000
195,1.000000
196,1.000000
197,1.000000
198,1.000000
199,1.000000
200,1.000000
201,1.000000
202,1.000000
203,1.000000
204,1.000000
205,1.000000
206,1.000000
207,1.000000
208,1.000000
209,1.000000
210,1.000000
211,1.000000
212,1.000000
213,1.000000
214,1.000000
215,1.000000
216,1.000000
217,1.000000
218,1.000000
219,1.000000
220,0.993281
221,0.976246
222,0.973626
223,0.986802
224,0.996278
225,1.000000
226,0.996607
227,0.994080
228,0.995677
229,0.995899
230,0.985153
231,0.969522
232,1.000000
233,0.995542
234,0.990454
235,0.992942
236,1.000000
237,1.000000
238,1.000000
239,1.000000
240,1.000000
241,1.000000
242,1.000000
243,1.000000
244,1.000000
245,1.000000
246,1.000000
247,1.000000
248,1.000000
249,1.000000
250,1.000000
251,1.000000
252,1.000000
253,0.996659
254,0.990793
255,0.984597
256,0.985932
257,0.986914
258,0.984930
259,0.985124
260,0.994995
261,0.999020
262,0.982175
263,0.921927
264,0.918227
265,0.899838
266,0.903570
267,0.906211
268,0.891847
269,0.931810
270,0.961311
271,0.985639
272,0.959047
273,0.920730
274,0.875276
275,0.845304
276,0.821687
277,0.815732
