metric,value
dist_std_base,0.004996869713068008
dist_std_reg0,0.015001130290329456
dist_std_reg1,0.015001130290329456
rel_pre_mean,0.0059396144933998585
rel_pre_std,0.031021833419799805
rel_post_mean,0.014959125779569149
rel_post_std,0.027559662237763405
retained_high_mean,0.1406957507133484
retained_low_mean,0.8709400296211243
retained_gap,0.7302442789077759
pre_correct_rate,0.4032666854407209
post_correct_rate,0.7879166666666667
directional_align_overall,0.5583935473029743
switch_pre_correct_rate,0.38
switch_post_correct_rate,0.9633333333333334
switch_band_correct_rate,0.6716666666666666
switch_margin_pre,0.008439111523330212
switch_margin_post,0.02682688646018505
corr_lambda_regime,-0.14747555168430007
corr_gate_regime,0.14747555168430004
corr_retained_regime,0.14747555168843757
auc_switch_lambda,0.41978849854501077
auc_switch_gate,0.41978849854501077
auc_switch_rel,0.5802115014549892
retained_gap_switch,-0.19902026653289795
switch_band_pass,False
directional_align_pass,True
pass_core_checks_v2,False
