t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,0.000000
57,0.000000
58,0.000000
59,0.000000
60,0.000000
61,0.000000
62,0.000000
63,0.000000
64,0.000000
65,0.000000
66,0.000000
67,0.000000
68,0.000000
69,0.000000
70,0.000000
71,0.000000
72,0.000000
73,0.035058
74,0.022359
75,0.024363
76,0.018163
77,0.008040
78,0.000000
79,0.030533
80,0.074197
81,0.103576
82,0.084948
83,0.076702
84,0.092211
85,0.095863
86,0.129698
87,0.141637
88,0.159352
89,0.153284
90,0.155467
91,0.164135
92,0.190998
93,0.230082
94,0.274345
95,0.309943
96,0.336011
97,0.354690
98,0.379781
99,0.383406
100,0.384137
101,0.389023
102,0.400197
103,0.424286
104,0.441846
105,0.450955
106,0.470605
107,0.489470
108,0.503429
109,0.503717
110,0.507390
111,0.490753
112,0.474985
113,0.475019
114,0.482197
115,0.475502
116,0.458535
117,0.448066
118,0.452963
119,0.455368
120,0.442521
121,0.423925
122,0.372476
123,0.377319
124,0.358946
125,0.396575
126,0.423120
127,0.433771
128,0.434210
129,0.452336
130,0.459910
131,0.470179
132,0.457175
133,0.455176
134,0.448397
135,0.467511
136,0.443601
137,0.448417
138,0.466174
139,0.512124
140,0.521323
141,0.517506
142,0.528661
143,0.503413
144,0.481870
145,0.519111
146,0.519054
147,0.490729
148,0.474918
149,0.437279
150,0.425001
151,0.435864
152,0.440602
153,0.455468
154,0.448472
155,0.457292
156,0.374695
157,0.349098
158,0.344027
159,0.329930
160,0.315104
161,0.283945
162,0.261603
163,0.247979
164,0.222866
165,0.231396
166,0.372282
167,0.398431
168,0.209361
169,0.920651
170,0.924029
171,0.967963
172,0.979425
173,0.997891
174,1.000000
175,1.000000
176,1.000000
177,1.000000
178,1.000000
179,1.000000
180,1.000000
181,1.000000
182,1.000000
183,0.846904
184,0.846241
185,0.794824
186,0.786795
187,0.745534
188,0.711343
189,0.703920
190,0.690265
191,0.689041
192,0.656110
193,0.587301
194,0.548219
195,0.537058
196,0.525797
197,0.498392
198,0.474971
199,0.423817
200,0.420007
201,0.438585
202,0.429635
203,0.401825
204,0.403479
205,0.481164
206,0.473741
207,0.463153
208,0.503027
209,0.467279
210,0.460683
211,0.448034
212,0.440466
213,0.422874
214,0.385339
