metric,value
dist_std_base,0.004996869713068008
dist_std_reg0,0.015001129359006882
dist_std_reg1,0.015001129359006882
rel_pre_mean,0.008240061812102795
rel_pre_std,0.030717941001057625
rel_post_mean,0.011555420234799385
rel_post_std,0.028797216713428497
retained_high_mean,0.1406957507133484
retained_low_mean,0.870940089225769
retained_gap,0.7302443385124207
pre_correct_rate,0.35736412278231483
post_correct_rate,0.72
directional_align_overall,0.5036128381784574
switch_window,200
switch_pre_correct_rate,0.47
switch_post_correct_rate,0.99
switch_band_correct_rate,0.73
switch_margin_pre,-0.010239646770060062
switch_margin_post,0.030576026067137718
corr_lambda_regime,-0.05420853505379367
corr_gate_regime,0.05420853505379368
corr_retained_regime,0.05420853519963831
auc_switch_lambda,0.5265708603210363
auc_switch_gate,0.5265708603210363
auc_switch_rel,0.5265708603210363
retained_gap_switch,-0.22011107206344604
peak_delay_lambda,151.0
peak_delay_gate,151.0
peak_delay_rel,151.0
corr_time_lambda_switch,-0.22708429481359071
corr_time_gate_switch,0.22708429481359071
corr_time_retained_switch,0.22708430737100657
switch_margin_pass,False
peak_delay_pass,False
retained_gap_switch_pass,False
switch_band_pass,True
directional_align_pass,False
pass_core_checks_v2,False
pass_core_checks_v3,False
