t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.792364
30,0.806734
31,0.827359
32,0.841351
33,0.839240
34,0.828875
35,0.852587
36,0.875802
37,0.865049
38,0.874591
39,0.857930
40,0.804402
41,0.780022
42,0.842335
43,0.860840
44,0.888790
45,0.888249
46,0.879237
47,0.867667
48,0.900071
49,0.871825
50,0.846330
51,0.819880
52,0.793647
53,0.801457
54,0.792438
55,0.773874
56,0.779355
57,0.801338
58,0.831065
59,0.818748
60,0.786672
61,0.747434
62,0.780809
63,0.795264
64,0.782706
65,0.735431
66,0.741699
67,0.755236
68,0.800997
69,0.812104
70,0.804134
71,0.807490
72,0.811517
73,0.801153
74,0.818022
75,0.776565
76,0.763683
77,0.738286
78,0.741144
79,0.725391
80,0.678723
81,0.655812
82,0.681812
83,0.666749
84,0.623045
85,0.506194
86,0.449369
87,0.403471
88,0.397002
89,0.314638
90,0.260239
91,0.198145
92,0.164996
93,0.153736
94,0.146663
95,0.089125
96,0.001790
97,0.077950
98,0.138811
99,0.142655
100,0.287556
101,0.387929
102,0.346391
103,0.345551
104,0.335954
105,0.327059
106,0.305497
107,0.343676
108,0.342494
109,0.360521
110,0.318314
111,0.286001
112,0.248810
113,0.195394
114,0.000000
115,0.000000
116,0.026228
117,0.000000
118,0.099501
119,0.169013
120,0.289097
121,0.355291
122,0.430798
123,0.563835
124,0.675574
125,0.722625
126,0.732699
127,0.757872
128,0.517941
129,0.993456
130,1.000000
131,0.895851
132,0.900898
133,0.868717
134,0.860405
135,0.881910
136,0.854968
137,0.829392
138,0.845122
139,0.859965
140,0.884669
141,0.897392
142,0.905896
143,0.897116
144,0.906051
145,0.811251
146,0.837765
147,0.845459
148,0.909953
149,0.915455
150,0.964220
151,0.942129
152,0.904749
153,0.910715
154,0.879289
155,0.849027
156,0.864791
157,0.894627
158,0.917787
159,0.938050
160,0.995051
161,1.000000
162,1.000000
163,1.000000
164,1.000000
165,1.000000
166,1.000000
167,1.000000
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,1.000000
174,1.000000
175,1.000000
176,1.000000
177,1.000000
178,1.000000
179,1.000000
180,1.000000
181,1.000000
182,1.000000
183,1.000000
184,1.000000
185,1.000000
186,1.000000
187,1.000000
188,1.000000
189,1.000000
190,1.000000
191,1.000000
192,1.000000
193,1.000000
194,1.000000
195,1.000000
196,1.000000
197,1.000000
198,0.938893
199,0.900218
200,0.856724
201,0.842628
202,0.840223
203,0.818178
204,0.805253
205,0.785393
206,0.850234
207,0.916106
208,0.938692
209,0.920368
210,0.906803
211,0.850146
212,0.871534
213,0.867841
214,0.800141
