t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.519506
30,0.533918
31,0.552996
32,0.557938
33,0.472357
34,0.476368
35,0.474247
36,0.514891
37,0.465568
38,0.453830
39,0.492978
40,0.519772
41,0.551255
42,0.545192
43,0.538488
44,0.533212
45,0.520017
46,0.552454
47,0.521273
48,0.587031
49,0.643089
50,0.690576
51,0.697887
52,0.671844
53,0.677366
54,0.728947
55,0.733823
56,0.738017
57,0.746225
58,0.780786
59,0.831823
60,0.814416
61,0.812105
62,0.824919
63,0.836409
64,0.807700
65,0.816957
66,0.786984
67,0.772010
68,0.765094
69,0.708548
70,0.653462
71,0.655836
72,0.659768
73,0.625168
74,0.663821
75,0.685687
76,0.705155
77,0.719126
78,0.671157
79,0.647442
80,0.643563
81,0.667063
82,0.675127
83,0.674808
84,0.664551
85,0.749659
86,0.788492
87,0.830223
88,0.790938
89,0.770724
90,0.812734
91,0.883592
92,0.876468
93,0.869035
94,0.845547
95,0.854856
96,0.885696
97,0.858318
98,0.817904
99,0.812673
100,0.849754
101,0.876509
102,0.891958
103,0.728999
104,0.720369
105,0.714264
106,0.712272
107,0.681180
108,0.668790
109,0.680051
110,0.694192
111,0.666494
112,0.666830
113,0.669278
114,0.696996
115,0.684173
116,0.731862
117,0.708118
118,0.714768
119,0.710235
120,0.695394
121,0.648164
122,0.623153
123,0.626215
124,0.655255
125,0.646492
126,0.634441
127,0.672475
128,0.677584
129,0.668607
130,0.602620
131,0.586530
132,0.591009
133,0.690177
134,0.718021
135,0.700566
136,0.701698
137,0.726131
138,0.745352
139,0.759577
140,0.714181
141,0.698917
142,0.698142
143,0.692878
144,0.701081
145,0.681567
146,0.656783
147,0.671017
148,0.667446
149,0.658233
150,0.629014
151,0.612156
152,0.673163
153,0.723854
154,0.682738
155,0.645526
156,0.660983
157,0.681909
158,0.702058
159,0.617703
160,0.652596
161,0.636418
162,0.702081
163,0.721797
164,0.693061
165,0.693220
166,0.699516
167,0.721851
168,0.696386
169,0.661372
170,0.633929
171,0.659443
172,0.645344
173,0.602594
174,0.532137
175,0.516746
176,0.508419
177,0.488520
178,0.476898
179,0.453571
180,0.412885
181,0.459642
182,0.478096
183,0.450080
184,0.472532
185,0.473634
186,0.464870
187,0.503405
188,0.492919
189,0.479937
190,0.465492
191,0.503767
192,0.522338
193,0.483711
194,0.426825
195,0.400363
196,0.431555
197,0.306331
198,0.309114
199,0.323840
200,0.341637
201,0.400203
202,0.427811
203,0.463565
204,0.490631
205,0.544968
206,0.572596
207,0.575240
208,0.568242
209,0.555827
210,0.576093
211,0.567874
212,0.544388
213,0.485114
214,0.476138
