t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.736070
50,0.748800
51,0.740720
52,0.733254
53,0.672215
54,0.674582
55,0.655594
56,0.652775
57,0.613695
58,0.592953
59,0.622578
60,0.607130
61,0.608022
62,0.593486
63,0.598710
64,0.614132
65,0.613179
66,0.635088
67,0.639495
68,0.666853
69,0.680223
70,0.694952
71,0.705678
72,0.718140
73,0.749918
74,0.776038
75,0.798192
76,0.804587
77,0.864566
78,0.899268
79,0.898428
80,0.857603
81,0.863807
82,0.867343
83,0.848247
84,0.820622
85,0.857666
86,0.872977
87,0.864162
88,0.854268
89,0.863541
90,0.866582
91,0.873294
92,0.860689
93,0.861808
94,0.857225
95,0.853238
96,0.842745
97,0.842223
98,0.837618
99,0.822312
100,0.824316
101,0.857452
102,0.898603
103,0.848786
104,0.854443
105,0.864840
106,0.877972
107,0.892588
108,0.903943
109,0.894506
110,0.914806
111,0.914651
112,0.925412
113,0.933675
114,0.932305
115,0.938847
116,0.954252
117,0.945916
118,0.939301
119,0.951450
120,0.958598
121,0.961180
122,0.942898
123,0.926591
124,0.934388
125,0.928586
126,0.928045
127,0.892861
128,0.892022
129,0.904739
130,0.908705
131,0.895341
132,0.891556
133,0.906592
134,0.924675
135,0.893611
136,0.924211
137,0.908388
138,0.897628
139,0.878004
140,0.856315
141,0.841433
142,0.828871
143,0.841245
144,0.873608
145,0.881204
146,0.880318
147,0.905918
148,0.922070
149,0.916299
150,0.903377
151,0.864300
152,0.848262
153,0.901793
154,0.887171
155,0.879212
156,0.886241
157,0.913665
158,0.919234
159,0.866912
160,0.818887
161,0.820499
162,0.817115
163,0.822807
164,0.819645
165,0.803187
166,0.794743
167,0.790973
168,0.772944
169,0.757681
170,0.729983
171,0.722920
172,0.723761
173,0.708381
174,0.683442
175,0.644395
176,0.619226
177,0.597898
178,0.601563
179,0.611186
180,0.585732
181,0.572584
182,0.598804
183,0.644059
184,0.642027
185,0.637768
186,0.620510
187,0.649414
188,0.636252
189,0.614370
190,0.586235
191,0.604058
192,0.627799
193,0.623767
194,0.560482
195,0.523953
196,0.559519
197,0.509174
198,0.513279
199,0.493467
200,0.483258
201,0.512686
202,0.528975
203,0.454518
204,0.451390
205,0.475134
206,0.502652
207,0.499441
208,0.447304
209,0.431749
210,0.453037
211,0.486500
212,0.513974
213,0.464135
214,0.434912
