t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.851527
50,0.857572
51,0.880505
52,0.900936
53,0.875351
54,0.881037
55,0.861742
56,0.895838
57,0.891445
58,0.898623
59,0.861957
60,0.817873
61,0.801350
62,0.788895
63,0.790037
64,0.845267
65,0.849891
66,0.839961
67,0.882292
68,0.859910
69,0.874343
70,0.856383
71,0.908660
72,0.893464
73,0.862725
74,0.855247
75,0.869854
76,0.854507
77,0.787174
78,0.693296
79,0.665093
80,0.635541
81,0.704323
82,0.737825
83,0.727578
84,0.686079
85,0.663332
86,0.673261
87,0.689150
88,0.686271
89,0.706997
90,0.750243
91,0.794998
92,0.862272
93,0.853680
94,0.845440
95,0.901602
96,0.915938
97,0.944984
98,0.942171
99,0.964853
100,0.970034
101,0.965812
102,0.927068
103,0.873408
104,0.857504
105,0.878921
106,0.889438
107,0.892094
108,0.909019
109,0.913950
110,0.931609
111,0.940472
112,0.949791
113,0.944113
114,0.959236
115,0.964822
116,0.940228
117,0.972797
118,0.975666
119,0.983137
120,0.974751
121,0.976643
122,1.000000
123,0.966567
124,0.981125
125,0.991175
126,0.960370
127,0.965840
128,0.959610
129,0.950085
130,0.931847
131,0.929631
132,0.917732
133,0.904392
134,0.911653
135,0.927369
136,1.000000
137,1.000000
138,1.000000
139,1.000000
140,1.000000
141,0.931218
142,0.783724
143,0.791045
144,0.835981
145,0.838945
146,0.864932
147,0.881933
148,0.862545
149,0.870004
150,0.888001
151,0.875082
152,0.909201
153,0.917967
154,0.883261
155,0.866611
156,0.843496
157,0.832679
158,0.844906
159,0.879706
160,0.908481
161,0.896586
162,0.860055
163,0.803495
164,0.855474
165,0.729491
166,0.463080
167,0.484029
168,0.301060
169,0.279684
170,0.212590
171,0.132569
172,0.117100
173,0.031301
174,0.033200
175,0.013580
176,0.061233
177,0.119040
178,0.165166
179,0.298092
180,0.351083
181,0.382423
182,0.429353
183,0.470859
184,0.531462
185,0.555122
186,0.549479
187,0.539634
188,0.525781
189,0.492509
190,0.465238
191,0.423761
192,0.401632
193,0.380800
194,0.343427
195,0.356169
196,0.336597
197,0.319268
198,0.291398
199,0.228123
200,0.168408
201,0.000000
202,0.000000
203,0.000000
204,0.000000
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.000000
210,0.000000
211,0.000000
212,0.000000
213,0.000000
214,0.000000
