metric,value
dist_std_base,0.2925075888633728
dist_std_reg0,0.2925075888633728
dist_std_reg1,0.2925075888633728
rel_pre_mean,0.37783852219581604
rel_pre_std,0.46191900968551636
rel_post_mean,0.15836204588413239
rel_post_std,0.7100554704666138
retained_high_mean,0.24961522221565247
retained_low_mean,0.8919370770454407
retained_gap,0.6423218548297882
pre_correct_rate,0.1855815263306111
post_correct_rate,0.64625
directional_align_overall,0.371366156948412
switch_window,200
switch_pre_correct_rate,0.225
switch_post_correct_rate,0.405
switch_band_correct_rate,0.315
switch_margin_pre,-0.412334680557251
switch_margin_post,-0.2319384515285492
switch_margin_pre_signed,-0.412334680557251
switch_margin_post_signed,-0.2319384515285492
switch_margin_pre_abs,0.412334680557251
switch_margin_post_abs,0.2319384515285492
corr_lambda_regime,0.18403983785691722
corr_gate_regime,-0.18403983785691722
corr_retained_regime,-0.1840398362833083
auc_switch_lambda,0.44557043790481554
auc_switch_gate,0.44557043790481554
auc_switch_rel,0.445570379235896
retained_gap_switch,0.3387574851512909
retained_gap_switch_signed,0.3387574851512909
retained_gap_switch_abs,0.3387574851512909
peak_delay_lambda,86.0
peak_delay_gate,86.0
peak_delay_rel,86.0
peak_delay_min,86.0
corr_time_lambda_switch,0.2945557618913208
corr_time_gate_switch,-0.29455576189132077
corr_time_retained_switch,-0.2945557663710735
directional_align_abs_thr,0.58
switch_band_abs_thr,0.6
switch_margin_abs_thr,0.0
peak_delay_abs_thr,100.0
retained_gap_switch_abs_thr,0.1
switch_margin_pass,True
peak_delay_pass,True
retained_gap_switch_pass,True
switch_band_pass,False
directional_align_pass,False
abs_pass_all,False
pass_core_checks_v2,False
pass_core_checks_v3_abs,False
pass_core_checks_v3,False
