metric,value
dist_std_base,0.0
dist_std_reg0,0.0
dist_std_reg1,5.960464477539063e-08
rel_pre_mean,-0.9509360790252686
rel_pre_std,1.7881393432617188e-07
rel_post_mean,-0.950935959815979
rel_post_std,5.960464477539063e-08
retained_high_mean,0.0
retained_low_mean,0.0
retained_gap,0.0
pre_correct_rate,1.0
post_correct_rate,0.0
directional_align_overall,0.5967064358931272
switch_window,400
switch_pre_correct_rate,1.0
switch_post_correct_rate,0.0
switch_band_correct_rate,0.5
switch_margin_pre,0.950935959815979
switch_margin_post,-0.950935959815979
switch_margin_pre_signed,0.950935959815979
switch_margin_post_signed,-0.950935959815979
switch_margin_pre_abs,0.950935959815979
switch_margin_post_abs,0.950935959815979
corr_lambda_regime,0.0
corr_gate_regime,0.0
corr_retained_regime,0.0
auc_switch_lambda,0.5
auc_switch_gate,0.5
auc_switch_rel,0.5
retained_gap_switch,0.0
retained_gap_switch_signed,0.0
retained_gap_switch_abs,0.0
peak_delay_lambda,400.0
peak_delay_gate,400.0
peak_delay_rel,400.0
peak_delay_min,400.0
corr_time_lambda_switch,0.0
corr_time_gate_switch,0.0
corr_time_retained_switch,0.0
directional_align_abs_thr,0.58
switch_band_abs_thr,0.6
switch_margin_abs_thr,0.0
peak_delay_abs_thr,200.0
retained_gap_switch_abs_thr,0.1
switch_margin_pass,True
peak_delay_pass,False
retained_gap_switch_pass,False
switch_band_pass,False
directional_align_pass,True
abs_pass_all,False
pass_core_checks_v2,False
pass_core_checks_v3_abs,False
pass_core_checks_v3,False
