t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.767886
50,0.729674
51,0.711181
52,0.703768
53,0.683789
54,0.708015
55,0.698950
56,0.681734
57,0.690456
58,0.682873
59,0.678637
60,0.665057
61,0.680830
62,0.673487
63,0.681086
64,0.681513
65,0.690502
66,0.696945
67,0.713270
68,0.724561
69,0.715694
70,0.721258
71,0.731487
72,0.729174
73,0.729749
74,0.731390
75,0.712869
76,0.705428
77,0.676117
78,0.685418
79,0.677891
80,0.663158
81,0.663045
82,0.641078
83,0.642408
84,0.618961
85,0.634755
86,0.637657
87,0.647539
88,0.665542
89,0.668033
90,0.647575
91,0.642768
92,0.575854
93,0.567004
94,0.527119
95,0.529899
96,0.502202
97,0.527857
98,0.508472
99,0.520480
100,0.580539
101,0.608756
102,0.559362
103,0.590218
104,0.591872
105,0.481088
106,0.495391
107,0.495203
108,0.547906
109,0.556980
110,0.564321
111,0.561748
112,0.571654
113,0.585458
114,0.591983
115,0.594444
116,0.575334
117,0.595184
118,0.603749
119,0.650716
120,0.667880
121,0.654831
122,0.631179
123,0.665945
124,0.696305
125,0.732480
126,0.738102
127,0.735337
128,0.721674
129,0.704484
130,0.713624
131,0.698158
132,0.701668
133,0.705208
134,0.725889
135,0.713798
136,0.715505
137,0.692548
138,0.673848
139,0.658421
140,0.668000
141,0.595617
142,0.604611
143,0.600262
144,0.589665
145,0.576082
146,0.583929
147,0.556018
148,0.551805
149,0.821643
150,0.822177
151,0.838754
152,0.851518
153,0.714738
154,0.730003
155,0.724535
156,0.746372
157,0.745087
158,0.751193
159,0.766584
160,0.801947
161,0.806408
162,0.848765
163,0.830875
164,0.796446
165,0.764641
166,0.731852
167,0.698688
168,0.695630
169,0.671785
170,0.674928
171,0.720112
172,0.749539
173,0.783338
174,0.794801
175,0.854664
176,0.901365
177,0.921166
178,0.917166
179,0.921150
180,0.930652
181,0.933650
182,0.936112
183,0.927045
184,0.944697
185,0.952154
186,0.968099
187,0.956944
188,0.956731
189,0.973680
190,0.998856
191,0.990913
192,0.957843
193,0.962211
194,0.964964
195,0.962478
196,0.942911
197,0.949659
198,0.955371
199,0.940432
200,0.932992
201,0.963880
202,0.991059
203,1.000000
204,1.000000
205,1.000000
206,1.000000
207,1.000000
208,1.000000
209,1.000000
210,1.000000
211,1.000000
212,1.000000
213,0.988031
214,0.967825
