t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.341637
30,0.400203
31,0.427811
32,0.463565
33,0.490631
34,0.544968
35,0.572596
36,0.575240
37,0.568242
38,0.555827
39,0.576093
40,0.567874
41,0.544388
42,0.485114
43,0.476138
44,0.476753
45,0.520272
46,0.504708
47,0.479664
48,0.496727
49,0.564663
50,0.562492
51,0.574465
52,0.566495
53,0.561195
54,0.576180
55,0.527435
56,0.655155
57,0.634763
58,0.688875
59,0.685328
60,0.637401
61,0.620070
62,0.617658
63,0.607162
64,0.594320
65,0.533934
66,0.518245
67,0.509486
68,0.494924
69,0.504688
70,0.456129
71,0.414027
72,0.391888
73,0.384424
74,0.357152
75,0.227509
76,0.150753
77,0.115976
78,0.049164
79,0.009058
80,0.000000
81,0.000000
82,0.000000
83,0.000000
84,0.000000
85,0.000000
86,0.065493
87,0.117961
88,0.153728
89,0.137255
90,0.151779
91,0.152158
92,0.164441
93,0.239633
94,0.277646
95,0.267445
96,0.333785
97,0.415339
98,0.489350
99,0.513188
100,0.469419
101,0.461803
102,0.518579
103,0.518092
104,0.487528
105,0.178033
106,0.209621
107,0.235681
108,0.237427
109,0.240943
110,0.250945
111,0.252428
112,0.245906
113,0.248770
114,0.201455
115,0.201301
116,0.196069
117,0.178457
118,0.158775
119,0.134063
120,0.130549
121,0.138380
122,0.130813
123,0.119171
124,0.123811
125,0.124954
126,0.114092
127,0.088278
128,0.080738
129,0.077429
130,0.044742
131,0.022565
132,0.068185
133,0.076074
134,0.000000
135,0.270609
136,0.809884
137,0.867011
138,0.842169
139,0.822181
140,0.777797
141,0.762649
142,0.760775
143,0.767432
144,0.788310
145,0.777908
146,0.790866
147,0.790074
148,0.779329
149,0.783443
150,0.746486
151,0.724498
152,0.735546
153,0.740297
154,0.757014
155,0.781103
156,0.776510
157,0.778537
158,0.798444
159,0.778512
160,0.788888
161,0.791140
162,0.799457
163,0.815727
164,0.807406
165,0.800326
166,0.791935
167,0.777110
168,0.772621
169,0.739418
170,0.745377
171,0.762454
172,0.756950
173,0.730444
174,0.744804
175,0.731981
176,0.758721
177,0.750326
178,0.742353
179,0.752039
180,0.751026
181,0.745405
182,0.747494
183,0.761633
184,0.776829
185,0.775692
186,0.801885
187,0.789303
188,0.793774
189,0.798006
190,0.767615
191,0.733893
192,0.709547
193,0.732035
194,0.764536
195,0.737584
196,0.734451
197,0.741650
198,0.775715
199,0.776087
200,0.778233
201,0.741290
202,0.779355
203,0.780484
204,0.771858
205,0.741471
206,0.724993
207,0.739085
208,0.777871
209,0.759293
210,0.746276
211,0.772028
212,0.807405
213,0.800120
214,0.785649
