metric,value
dist_std_base,0.2925075888633728
dist_std_reg0,0.2925075888633728
dist_std_reg1,0.2925075888633728
rel_pre_mean,0.2733010947704315
rel_pre_std,0.6657269597053528
rel_post_mean,0.3130338788032532
rel_post_std,0.4381066560745239
retained_high_mean,0.24961522221565247
retained_low_mean,0.8919370770454407
retained_gap,0.6423218548297882
pre_correct_rate,0.26865671641791045
post_correct_rate,0.7691666666666667
directional_align_overall,0.4705091581246849
switch_window,100
switch_pre_correct_rate,0.16
switch_post_correct_rate,0.82
switch_band_correct_rate,0.49
switch_margin_pre,-0.2149660438299179
switch_margin_post,0.392769992351532
switch_margin_pre_signed,-0.2149660438299179
switch_margin_post_signed,0.392769992351532
switch_margin_pre_abs,0.2149660438299179
switch_margin_post_abs,0.392769992351532
corr_lambda_regime,-0.03331753994421438
corr_gate_regime,0.0333175399442144
corr_retained_regime,0.033317527929105875
auc_switch_lambda,0.4562671313245095
auc_switch_gate,0.4562671313245095
auc_switch_rel,0.4562671313245095
retained_gap_switch,-0.09348893165588379
retained_gap_switch_signed,-0.09348893165588379
retained_gap_switch_abs,0.09348893165588379
peak_delay_lambda,21.0
peak_delay_gate,21.0
peak_delay_rel,21.0
peak_delay_min,21.0
corr_time_lambda_switch,-0.5341116142198813
corr_time_gate_switch,0.5341116142198815
corr_time_retained_switch,0.5341116301820954
directional_align_abs_thr,0.58
switch_band_abs_thr,0.6
switch_margin_abs_thr,0.0
peak_delay_abs_thr,50.0
retained_gap_switch_abs_thr,0.1
switch_margin_pass,True
peak_delay_pass,True
retained_gap_switch_pass,False
switch_band_pass,False
directional_align_pass,False
abs_pass_all,False
pass_core_checks_v2,False
pass_core_checks_v3_abs,False
pass_core_checks_v3,False
