t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.488155
30,0.519513
31,0.494418
32,0.325942
33,0.355779
34,0.396751
35,0.384902
36,0.365638
37,0.405062
38,0.392522
39,0.411462
40,0.406993
41,0.399182
42,0.357414
43,0.299318
44,0.310304
45,0.388432
46,0.430118
47,0.433738
48,0.387952
49,0.397075
50,0.383176
51,0.380354
52,0.396842
53,0.401687
54,0.396458
55,0.534765
56,0.552970
57,0.556344
58,0.516457
59,0.628230
60,0.652414
61,0.799723
62,0.793089
63,0.800239
64,0.806071
65,0.822936
66,0.808580
67,0.823353
68,0.773883
69,0.774357
70,0.795822
71,0.829746
72,0.785469
73,0.776645
74,0.790062
75,0.843471
76,0.802162
77,0.800550
78,0.776943
79,0.746181
80,0.739277
81,0.746032
82,0.760437
83,0.731427
84,0.711445
85,0.724608
86,0.694026
87,0.709590
88,0.739742
89,0.762555
90,0.761017
91,0.726038
92,0.736858
93,0.753989
94,0.759865
95,0.770958
96,0.789616
97,0.781114
98,0.810487
99,0.825757
100,0.833845
101,0.817149
102,0.834310
103,0.846516
104,0.843809
105,0.815519
106,0.832578
107,0.805562
108,0.819459
109,0.843034
110,0.865885
111,0.843175
112,0.837147
113,0.846092
114,0.888521
115,0.890181
116,0.885640
117,0.877657
118,0.880552
119,0.883771
120,0.890580
121,0.918347
122,0.901966
123,0.891569
124,0.858231
125,0.892086
126,0.850313
127,0.837984
128,0.839699
129,0.841406
130,0.886683
131,0.842921
132,0.856276
133,0.846360
134,0.863793
135,0.853509
136,0.862642
137,0.879664
138,0.909533
139,0.907203
140,0.908642
141,0.894205
142,0.876711
143,0.888340
144,0.882970
145,0.867724
146,0.872933
147,0.871071
148,0.872003
149,0.859876
150,0.858108
151,0.830134
152,0.848178
153,0.788845
154,0.796595
155,0.759793
156,0.775466
157,0.769444
158,0.766177
159,0.773547
160,0.757145
161,0.771558
162,0.761584
163,0.765255
164,0.750902
165,0.774410
166,0.769628
167,0.772863
168,0.759624
169,0.751774
170,0.740116
171,0.712380
172,0.715834
173,0.720389
174,0.721441
175,0.726735
176,0.705737
177,0.736651
178,0.713398
179,0.738258
180,0.745338
181,0.755568
182,0.723726
183,0.725908
184,0.756655
185,0.772148
186,0.743076
187,0.736834
188,0.750159
189,0.753180
190,0.768288
191,0.750573
192,0.729332
193,0.752873
194,0.781948
195,0.798572
196,0.826674
197,0.829731
198,0.871032
199,0.899930
200,0.873801
201,0.911140
202,0.906066
203,0.909070
204,0.867893
205,0.880121
206,0.875841
207,0.820375
208,0.899305
209,0.886101
210,0.845943
211,0.847149
212,0.859102
213,0.882723
214,0.850607
