metric,value
dist_std_base,0.004996869713068008
dist_std_reg0,0.015001129359006882
dist_std_reg1,0.015001131221652031
rel_pre_mean,0.010261367075145245
rel_pre_std,0.031136920675635338
rel_post_mean,0.00856473296880722
rel_post_std,0.0282095018774271
retained_high_mean,0.14069576561450958
retained_low_mean,0.870940089225769
retained_gap,0.7302443236112595
pre_correct_rate,0.3252604900028161
post_correct_rate,0.6725
directional_align_overall,0.4652999495883045
switch_pre_correct_rate,0.6633333333333333
switch_post_correct_rate,0.16666666666666666
switch_band_correct_rate,0.415
switch_margin_pre,-0.018360739573836327
switch_margin_post,-0.025171956047415733
corr_lambda_regime,0.027741196778811823
corr_gate_regime,-0.02774119677881178
corr_retained_regime,-0.02774119647431131
auc_switch_lambda,0.5283918262461279
auc_switch_gate,0.5283918262461279
auc_switch_rel,0.47160817375387215
retained_gap_switch,0.07372128963470459
switch_band_pass,False
directional_align_pass,False
pass_core_checks_v2,False
