t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.822919
50,0.798416
51,0.765794
52,0.740737
53,0.690396
54,0.641231
55,0.787552
56,0.671960
57,0.683102
58,0.677597
59,0.681009
60,0.678113
61,0.678314
62,0.685691
63,0.686274
64,0.730251
65,0.793968
66,0.809737
67,0.843798
68,0.873297
69,0.899144
70,0.912182
71,0.900908
72,0.944495
73,0.980534
74,1.000000
75,1.000000
76,1.000000
77,1.000000
78,1.000000
79,1.000000
80,1.000000
81,1.000000
82,1.000000
83,1.000000
84,0.904416
85,0.902085
86,0.909388
87,0.906575
88,0.888584
89,0.905127
90,0.594944
91,0.549614
92,0.544827
93,0.557338
94,0.549978
95,0.560240
96,0.565962
97,0.558242
98,0.549152
99,0.566010
100,0.557456
101,0.547192
102,0.542597
103,0.557535
104,0.573449
105,0.562822
106,0.540927
107,0.543714
108,0.627670
109,0.634260
110,0.625717
111,0.612155
112,0.596133
113,0.608711
114,0.617027
115,0.670328
116,0.644938
117,0.635726
118,0.645578
119,0.643140
120,0.644414
121,0.654616
122,0.657157
123,0.634026
124,0.649441
125,0.640914
126,0.629324
127,0.646598
128,0.651767
129,0.653963
130,0.638220
131,0.643134
132,0.655068
133,0.659082
134,0.646249
135,0.576405
136,0.591093
137,0.602384
138,0.616322
139,0.604912
140,0.788762
141,0.877666
142,0.884630
143,0.871316
144,0.962111
145,0.968624
146,0.988091
147,1.000000
148,1.000000
149,1.000000
150,1.000000
151,1.000000
152,1.000000
153,1.000000
154,1.000000
155,1.000000
156,1.000000
157,1.000000
158,1.000000
159,1.000000
160,1.000000
161,1.000000
162,1.000000
163,0.972620
164,0.944244
165,0.931778
166,0.981365
167,0.962172
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,0.987010
174,1.000000
175,1.000000
176,1.000000
177,1.000000
178,1.000000
179,0.999972
180,0.931172
181,0.796200
182,0.764472
183,0.758850
184,0.725861
185,0.728892
186,0.803099
187,0.798324
188,0.834002
189,0.870314
190,0.879441
191,0.885761
192,0.881811
193,0.862983
194,0.864822
195,0.861266
196,0.863392
197,0.861574
198,0.860963
199,0.853704
200,0.789740
201,0.820262
202,0.849112
203,0.827980
204,0.851481
205,0.852733
206,0.841918
207,0.853132
208,0.888744
209,0.901967
210,0.914304
211,0.906871
212,0.927051
213,0.948624
214,0.960011
