t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.725649
30,0.714731
31,0.695717
32,0.755786
33,0.719825
34,0.670178
35,0.673804
36,0.648241
37,0.637796
38,0.670592
39,0.685549
40,0.617870
41,0.594301
42,0.591462
43,0.632891
44,0.646071
45,0.684730
46,0.703923
47,0.715680
48,0.733071
49,0.743219
50,0.722667
51,0.737164
52,0.741970
53,0.732411
54,0.686527
55,0.672223
56,0.645064
57,0.643928
58,0.613165
59,0.572106
60,0.516442
61,0.509507
62,0.514022
63,0.599541
64,0.725199
65,0.729849
66,0.723285
67,0.742226
68,0.736358
69,0.712516
70,0.685174
71,0.657907
72,0.667477
73,0.661339
74,0.638431
75,0.624744
76,0.602836
77,0.613484
78,0.620587
79,0.594731
80,0.552797
81,0.552225
82,0.509967
83,0.466751
84,0.517212
85,0.325910
86,0.376931
87,0.375045
88,0.377586
89,0.390561
90,0.391076
91,0.408986
92,0.386474
93,0.360330
94,0.310500
95,0.279142
96,0.291133
97,0.280017
98,0.256798
99,0.272860
100,0.291494
101,0.279998
102,0.261230
103,0.296255
104,0.288928
105,0.268697
106,0.234301
107,0.239927
108,0.210346
109,0.170037
110,0.155832
111,0.119645
112,0.139377
113,0.110226
114,0.172504
115,0.333700
116,0.430341
117,0.592406
118,0.541963
119,0.495336
120,0.513603
121,0.484166
122,0.479307
123,0.495129
124,0.488502
125,0.445726
126,0.420524
127,0.442468
128,0.487117
129,0.482010
130,0.465163
131,0.457510
132,0.486011
133,0.473902
134,0.470788
135,0.489942
136,0.518857
137,0.530477
138,0.564463
139,0.594637
140,0.618874
141,0.623118
142,0.611736
143,0.586818
144,0.583123
145,0.576213
146,0.562304
147,0.554866
148,0.542652
149,0.578261
150,0.590275
151,0.597042
152,0.606738
153,0.652783
154,0.647182
155,0.671028
156,0.624872
157,0.590226
158,0.586407
159,0.597197
160,0.514247
161,0.386319
162,0.376519
163,0.348492
164,0.271482
165,0.273726
166,0.258465
167,0.265128
168,0.294480
169,0.286057
170,0.017118
171,0.000000
172,0.000000
173,0.000000
174,0.000000
175,0.029932
176,0.020302
177,0.025671
178,0.021389
179,0.044351
180,0.138072
181,0.159376
182,0.175684
183,0.173475
184,0.247912
185,0.242104
186,0.179915
187,0.178847
188,0.183646
189,0.244134
190,0.240415
191,0.254348
192,0.236268
193,0.239104
194,0.248736
195,0.241860
196,0.236687
197,0.217292
198,0.225754
199,0.242043
200,0.410873
201,0.471459
202,0.428466
203,0.385371
204,0.512025
205,0.528531
206,0.503802
207,0.494160
208,0.548837
209,0.538052
210,0.598604
211,0.563341
212,0.544922
213,0.556894
214,0.579143
