t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.935703
50,0.609560
51,0.701405
52,0.845958
53,0.868284
54,0.000000
55,0.889399
56,0.861515
57,0.680829
58,0.000000
59,0.709388
60,0.955531
61,0.733214
62,1.000000
63,0.680267
64,0.736917
65,0.393334
66,0.320154
67,0.892172
68,0.000000
69,0.900801
70,0.515955
71,0.000000
72,0.295333
73,0.690704
74,0.769874
75,1.000000
76,0.782307
77,0.853976
78,0.608148
79,0.730983
80,0.000000
81,1.000000
82,0.875959
83,0.518652
84,0.650384
85,0.633754
86,0.784504
87,0.886042
88,0.375555
89,0.551225
90,1.000000
91,0.648293
92,0.836824
93,0.632029
94,0.865215
95,0.958779
96,0.712164
97,0.658679
98,0.920631
99,0.695756
100,0.990452
101,0.608979
102,0.979239
103,0.453104
104,0.000000
105,0.830362
106,1.000000
107,0.000000
108,0.000000
109,0.635313
110,0.738286
111,0.000000
112,0.472493
113,0.000000
114,0.998136
115,0.720762
116,0.351463
117,0.624186
118,1.000000
119,0.801286
120,1.000000
121,0.640887
122,0.549674
123,0.000000
124,0.289052
125,0.867640
126,0.613450
127,0.835072
128,0.102738
129,0.837944
130,1.000000
131,0.873028
132,0.474781
133,0.000000
134,1.000000
135,0.494331
136,0.640034
137,0.000000
138,0.959412
139,0.000000
140,0.727955
141,0.951100
142,0.369379
143,0.480980
144,1.000000
145,0.965164
146,0.106748
147,0.000000
148,0.404812
149,0.000000
150,0.686014
151,0.654820
152,0.847468
153,0.865898
154,0.729631
155,0.000000
156,0.926691
157,1.000000
158,0.000000
159,0.691372
160,0.969774
161,0.471850
162,0.859186
163,0.692317
164,0.939901
165,0.947925
166,0.842808
167,0.915237
168,0.693195
169,0.763922
170,0.471391
171,0.000000
172,0.913785
173,0.000000
174,0.965182
175,0.977839
176,0.499527
177,0.453044
178,0.927903
179,0.294307
180,0.965277
181,0.510383
182,0.721178
183,1.000000
184,0.876713
185,0.541521
186,0.946048
187,0.526395
188,1.000000
189,0.642690
190,0.580279
191,0.524410
192,0.745053
193,0.770164
194,0.000000
195,0.375043
196,0.872838
197,0.000000
198,0.727705
199,0.584108
200,0.899758
201,0.436037
202,0.873658
203,1.000000
204,0.000000
205,0.614056
206,0.998807
207,0.468394
208,0.438347
209,0.551599
210,0.685194
211,0.963886
212,0.702311
213,1.000000
214,0.812536
