metric,value
dist_std_base,0.004996869713068008
dist_std_reg0,0.015001129359006882
dist_std_reg1,0.015001129359006882
rel_pre_mean,0.009328357875347137
rel_pre_std,0.030244940891861916
rel_post_mean,0.009945196099579334
rel_post_std,0.02963571436703205
retained_high_mean,0.14069576561450958
retained_low_mean,0.8709400296211243
retained_gap,0.7302442640066147
pre_correct_rate,0.3314559279076317
post_correct_rate,0.6816666666666666
directional_align_overall,0.4726936649302638
switch_window,200
switch_pre_correct_rate,0.365
switch_post_correct_rate,0.625
switch_band_correct_rate,0.495
switch_margin_pre,-0.007777460850775242
switch_margin_post,0.007406876888126135
corr_lambda_regime,-0.010085753353707878
corr_gate_regime,0.010085753353707878
corr_retained_regime,0.010085754012043873
auc_switch_lambda,0.5037358607903877
auc_switch_gate,0.5037358607903877
auc_switch_rel,0.5037358607903877
retained_gap_switch,0.004010975360870361
peak_delay_lambda,199.0
peak_delay_gate,199.0
peak_delay_rel,199.0
corr_time_lambda_switch,-0.00509400108565008
corr_time_gate_switch,0.005094001085650079
corr_time_retained_switch,0.005093999897563558
switch_margin_pass,False
peak_delay_pass,False
retained_gap_switch_pass,False
switch_band_pass,False
directional_align_pass,False
pass_core_checks_v2,False
pass_core_checks_v3,False
