t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.918535
30,0.428085
31,0.786489
32,0.159376
33,0.682682
34,0.861347
35,0.115288
36,0.896146
37,0.000000
38,0.141010
39,0.360330
40,0.912499
41,0.390561
42,0.966725
43,0.000000
44,0.583271
45,1.000000
46,0.799745
47,0.170037
48,0.208557
49,0.000000
50,0.608956
51,1.000000
52,0.305457
53,0.685817
54,0.815770
55,0.856824
56,0.849754
57,0.897111
58,0.247912
59,0.939447
60,0.000000
61,1.000000
62,0.000000
63,0.096544
64,0.773010
65,0.655481
66,0.815390
67,0.776645
68,1.000000
69,0.451835
70,1.000000
71,0.362717
72,0.021174
73,0.759760
74,1.000000
75,1.000000
76,0.659366
77,0.264061
78,0.779959
79,0.128961
80,0.949560
81,0.713822
82,0.000000
83,0.718674
84,0.517941
85,0.616017
86,0.850601
87,0.044351
88,0.245906
89,0.325910
90,0.430798
91,1.000000
92,0.889456
93,1.000000
94,1.000000
95,0.554866
96,0.620653
97,0.941967
98,0.502674
99,0.000000
100,0.805023
101,0.139703
102,1.000000
103,0.746225
104,0.734666
105,0.954547
106,0.530703
107,0.596453
108,0.125113
109,1.000000
110,0.000000
111,0.804842
112,0.594301
113,0.100907
114,0.699107
115,0.766177
116,0.000000
117,0.871032
118,0.805957
119,0.000000
120,0.774739
121,0.445058
122,0.780332
123,1.000000
124,0.867667
125,0.373058
126,0.645189
127,0.618024
128,0.838942
129,0.000000
130,0.492919
131,0.639697
132,0.714002
133,0.885696
134,0.754752
135,0.564389
136,0.842071
137,1.000000
138,0.907287
139,0.933496
140,1.000000
141,0.123943
142,0.306976
143,0.121421
144,0.977711
145,0.182242
146,0.763644
147,0.067059
148,1.000000
149,0.533207
150,0.806071
151,0.721650
152,0.959652
153,0.866225
154,0.097876
155,0.488502
156,0.780022
157,0.802162
158,0.173020
159,0.540612
160,0.000000
161,0.960653
162,0.732076
163,0.822374
164,0.912991
165,0.326377
166,1.000000
167,0.000000
168,0.554823
169,1.000000
170,0.134673
171,0.412286
172,0.769932
173,0.920088
174,0.697228
175,0.826746
176,0.992229
177,0.540358
178,0.983629
179,0.803103
180,0.601832
181,0.377011
182,0.193314
183,0.820613
184,0.230549
185,0.883963
186,0.209515
187,1.000000
188,0.660862
189,0.812455
190,1.000000
191,0.950144
192,0.151943
193,0.283476
194,0.797624
195,0.909613
196,0.691051
197,0.191206
198,0.781645
199,0.000000
200,0.663362
201,0.522303
202,1.000000
203,1.000000
204,0.708251
205,0.048750
206,0.339070
207,0.668997
208,0.698917
209,0.279142
210,0.936210
211,0.169466
212,0.889402
213,0.755124
214,0.000000
