t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.886384
40,0.291675
41,0.607186
42,0.224095
43,0.973436
44,0.892330
45,0.699196
46,0.857249
47,0.565364
48,0.682792
49,0.820221
50,0.748405
51,0.588887
52,0.857148
53,0.780385
54,0.250144
55,1.000000
56,1.000000
57,0.418198
58,0.000000
59,0.825802
60,1.000000
61,0.719700
62,0.799410
63,0.842346
64,0.996249
65,1.000000
66,1.000000
67,0.733393
68,0.000000
69,0.572690
70,0.759545
71,0.612252
72,0.000000
73,0.869711
74,0.473589
75,0.726456
76,0.874931
77,0.424462
78,0.665771
79,0.520413
80,0.000000
81,0.155708
82,0.000000
83,0.143132
84,0.837018
85,0.163783
86,0.677313
87,0.573824
88,0.608711
89,1.000000
90,0.000000
91,0.752459
92,0.000000
93,0.930255
94,0.344623
95,0.845398
96,0.876417
97,0.307069
98,0.751378
99,0.977958
100,1.000000
101,0.000000
102,0.596390
103,1.000000
104,0.000000
105,0.615083
106,0.734249
107,0.783656
108,0.736050
109,0.304561
110,0.961790
111,0.287713
112,0.000000
113,1.000000
114,0.342739
115,1.000000
116,0.633598
117,0.862034
118,0.349532
119,0.427909
120,0.139968
121,1.000000
122,0.677111
123,0.111633
124,0.516341
125,0.683017
126,0.000000
127,0.881662
128,0.992027
129,0.725613
130,0.904074
131,0.765649
132,0.823938
133,0.000000
134,0.000000
135,0.783256
136,0.728164
137,0.771335
138,1.000000
139,0.936437
140,0.000000
141,0.362665
142,1.000000
143,0.808447
144,0.828971
145,0.852350
146,0.882888
147,0.753471
148,0.297823
149,0.809594
150,1.000000
151,0.888722
152,0.787668
153,1.000000
154,1.000000
155,0.000000
156,0.815228
157,0.344241
158,0.949374
159,0.000000
160,0.656485
161,0.072944
162,0.150051
163,0.000000
164,0.802504
165,0.904382
166,0.774068
167,0.792304
168,0.066116
169,0.878298
170,0.349231
171,0.000000
172,0.000000
173,0.430067
174,0.953409
175,0.804292
176,0.880662
177,0.000000
178,0.722405
179,0.426048
180,0.758188
181,0.982019
182,0.393919
183,0.582026
184,0.304279
185,0.587801
186,0.949143
187,0.880296
188,0.783997
189,0.568409
190,0.418680
191,0.326445
192,0.823609
193,0.884533
194,0.932208
195,0.402623
196,0.946210
197,0.552230
198,0.807581
199,0.377261
200,1.000000
201,0.249736
202,0.000000
203,0.239089
204,0.802489
205,0.966015
206,0.378316
207,0.799376
208,0.867107
209,1.000000
210,0.731160
211,0.591208
212,1.000000
213,0.574686
214,0.792344
