t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,0.000000
57,0.000000
58,0.000000
59,0.000000
60,0.000000
61,0.000000
62,0.000000
63,0.000000
64,0.000000
65,0.000000
66,0.000000
67,0.000000
68,0.000000
69,0.000000
70,0.000000
71,0.000000
72,0.000000
73,0.000000
74,0.000000
75,0.000000
76,0.000000
77,0.000000
78,0.000000
79,0.971089
80,0.993235
81,1.000000
82,1.000000
83,0.910915
84,0.940920
85,0.942985
86,0.948582
87,0.947820
88,0.944656
89,0.953969
90,0.946898
91,0.948622
92,0.937674
93,0.929491
94,0.910910
95,0.901977
96,0.887482
97,0.874750
98,0.866751
99,0.847908
100,0.849094
101,0.857096
102,0.898645
103,0.946733
104,0.950320
105,0.949992
106,0.957217
107,0.974892
108,0.975819
109,0.971041
110,0.967827
111,0.965846
112,0.955373
113,0.945466
114,0.937291
115,0.954423
116,0.934654
117,0.915137
118,0.921305
119,0.944735
120,0.960201
121,0.964306
122,1.000000
123,0.996249
124,0.993998
125,0.992500
126,0.995728
127,1.000000
128,1.000000
129,1.000000
130,1.000000
131,1.000000
132,1.000000
133,1.000000
134,1.000000
135,1.000000
136,1.000000
137,1.000000
138,1.000000
139,1.000000
140,1.000000
141,1.000000
142,1.000000
143,1.000000
144,1.000000
145,1.000000
146,1.000000
147,1.000000
148,1.000000
149,1.000000
150,1.000000
151,1.000000
152,1.000000
153,1.000000
154,1.000000
155,1.000000
156,1.000000
157,1.000000
158,1.000000
159,1.000000
160,1.000000
161,1.000000
162,1.000000
163,1.000000
164,1.000000
165,1.000000
166,1.000000
167,1.000000
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,1.000000
174,1.000000
175,1.000000
176,1.000000
177,1.000000
178,1.000000
179,1.000000
180,1.000000
181,1.000000
182,1.000000
183,1.000000
184,1.000000
185,1.000000
186,1.000000
187,1.000000
188,1.000000
189,1.000000
190,1.000000
191,1.000000
192,1.000000
193,1.000000
194,1.000000
195,1.000000
196,1.000000
197,1.000000
198,1.000000
199,1.000000
200,1.000000
201,1.000000
202,1.000000
203,1.000000
204,1.000000
205,1.000000
206,1.000000
207,1.000000
208,1.000000
209,1.000000
210,1.000000
211,1.000000
212,1.000000
213,1.000000
214,1.000000
