t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.897623
40,0.923851
41,0.955371
42,1.000000
43,0.914848
44,0.959351
45,0.948402
46,0.963106
47,0.970162
48,0.944185
49,0.949143
50,0.922263
51,0.915487
52,0.895425
53,0.892946
54,0.873661
55,0.861460
56,0.854018
57,0.830819
58,0.815094
59,0.802905
60,0.834045
61,0.858314
62,0.909207
63,0.933315
64,0.924005
65,0.924542
66,0.929551
67,0.936010
68,0.930668
69,0.897415
70,0.879702
71,0.932601
72,0.930416
73,0.929109
74,0.914598
75,0.953098
76,0.982129
77,0.963157
78,0.953409
79,0.972731
80,0.989992
81,0.968936
82,0.973578
83,0.973328
84,1.000000
85,1.000000
86,1.000000
87,1.000000
88,1.000000
89,1.000000
90,1.000000
91,1.000000
92,1.000000
93,1.000000
94,1.000000
95,1.000000
96,1.000000
97,1.000000
98,1.000000
99,1.000000
100,1.000000
101,1.000000
102,1.000000
103,1.000000
104,1.000000
105,1.000000
106,1.000000
107,1.000000
108,1.000000
109,1.000000
110,1.000000
111,1.000000
112,1.000000
113,0.998094
114,0.995328
115,0.970925
116,0.927695
117,0.904509
118,0.905321
119,0.897475
120,0.922723
121,0.881581
122,0.880791
123,0.862034
124,0.845942
125,0.831787
126,0.841539
127,0.839178
128,0.888795
129,0.900598
130,0.950551
131,0.988349
132,1.000000
133,1.000000
134,1.000000
135,1.000000
136,1.000000
137,1.000000
138,1.000000
139,1.000000
140,1.000000
141,1.000000
142,1.000000
143,1.000000
144,1.000000
145,1.000000
146,1.000000
147,1.000000
148,1.000000
149,1.000000
150,1.000000
151,1.000000
152,1.000000
153,1.000000
154,0.941863
155,1.000000
156,0.937436
157,1.000000
158,1.000000
159,1.000000
160,1.000000
161,1.000000
162,1.000000
163,1.000000
164,1.000000
165,1.000000
166,1.000000
167,1.000000
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,1.000000
174,1.000000
175,1.000000
176,1.000000
177,1.000000
178,1.000000
179,1.000000
180,1.000000
181,1.000000
182,1.000000
183,1.000000
184,1.000000
185,1.000000
186,0.991392
187,0.988589
188,1.000000
189,1.000000
190,0.941646
191,0.906106
192,0.910883
193,0.922590
194,0.936683
195,0.930269
196,0.975109
197,0.952717
198,0.926739
199,0.936083
200,0.929761
201,0.936633
202,0.951397
203,0.939169
204,0.967374
205,0.968942
206,0.998377
207,0.980256
208,0.996126
209,1.000000
210,0.964860
211,0.934881
212,0.898452
213,0.891898
214,0.881248
