t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.749161
30,0.780425
31,0.829764
32,0.867630
33,0.799727
34,0.825630
35,0.860949
36,0.890748
37,0.916181
38,0.903443
39,0.992229
40,0.966048
41,0.956673
42,0.965670
43,0.982019
44,1.000000
45,1.000000
46,1.000000
47,1.000000
48,1.000000
49,1.000000
50,0.986168
51,0.981454
52,0.973375
53,0.962625
54,0.961954
55,0.960041
56,0.983118
57,0.972694
58,0.958039
59,0.933581
60,0.928241
61,0.960664
62,0.994550
63,1.000000
64,0.980514
65,0.959444
66,0.929543
67,0.895288
68,0.912991
69,0.880065
70,0.887598
71,0.875863
72,0.866818
73,0.903275
74,0.893276
75,0.935622
76,0.949941
77,0.941175
78,0.952375
79,0.968680
80,0.989363
81,0.960814
82,0.933045
83,0.913832
84,0.955864
85,1.000000
86,1.000000
87,1.000000
88,1.000000
89,1.000000
90,1.000000
91,1.000000
92,1.000000
93,1.000000
94,1.000000
95,1.000000
96,1.000000
97,1.000000
98,1.000000
99,1.000000
100,1.000000
101,1.000000
102,1.000000
103,1.000000
104,1.000000
105,1.000000
106,1.000000
107,1.000000
108,0.972505
109,0.882990
110,0.876093
111,0.786689
112,0.646067
113,0.596453
114,0.603106
115,0.602279
116,0.564974
117,0.550438
118,0.617938
119,0.644866
120,0.694264
121,0.735115
122,0.812826
123,0.877690
124,0.929331
125,0.947312
126,0.987478
127,1.000000
128,1.000000
129,1.000000
130,1.000000
131,1.000000
132,1.000000
133,1.000000
134,1.000000
135,1.000000
136,1.000000
137,1.000000
138,1.000000
139,1.000000
140,1.000000
141,1.000000
142,1.000000
143,1.000000
144,1.000000
145,0.997320
146,1.000000
147,1.000000
148,1.000000
149,1.000000
150,1.000000
151,1.000000
152,1.000000
153,1.000000
154,0.938658
155,1.000000
156,0.986172
157,1.000000
158,1.000000
159,1.000000
160,1.000000
161,1.000000
162,1.000000
163,1.000000
164,1.000000
165,1.000000
166,1.000000
167,0.998703
168,0.987917
169,0.925604
170,0.966536
171,0.967614
172,0.955318
173,0.956201
174,0.983286
175,1.000000
176,0.973446
177,0.982279
178,0.990048
179,0.982014
180,0.959407
181,0.912509
182,0.919602
183,0.951577
184,0.959766
185,0.955563
186,0.970802
187,0.947672
188,0.926644
189,0.935307
190,0.846466
191,0.807689
192,0.877462
193,0.866540
194,0.885595
195,0.886477
196,0.888598
197,0.880178
198,0.889682
199,0.908462
200,0.883852
201,0.919786
202,0.923037
203,0.913768
204,0.945830
205,0.936590
206,1.000000
207,0.997742
208,1.000000
209,1.000000
210,0.988108
211,0.921582
212,0.846457
213,0.860455
214,0.843393
