t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.848266
50,0.848925
51,0.866867
52,0.880667
53,0.732666
54,0.749080
55,0.743872
56,0.766921
57,0.765074
58,0.770677
59,0.787868
60,0.824349
61,0.830743
62,0.876965
63,0.860242
64,0.823648
65,0.790513
66,0.756070
67,0.720952
68,0.717814
69,0.692551
70,0.695231
71,0.741745
72,0.771960
73,0.807372
74,0.817524
75,0.880682
76,0.928797
77,0.948495
78,0.943070
79,0.946842
80,0.956186
81,0.958502
82,0.960978
83,0.951078
84,0.970586
85,0.979409
86,0.997209
87,0.984828
88,0.985012
89,1.000000
90,1.000000
91,1.000000
92,0.985717
93,0.991404
94,0.994597
95,0.991204
96,0.971156
97,0.978495
98,0.986379
99,0.971530
100,0.963948
101,0.996974
102,1.000000
103,1.000000
104,1.000000
105,1.000000
106,1.000000
107,1.000000
108,1.000000
109,1.000000
110,1.000000
111,1.000000
112,1.000000
113,1.000000
114,1.000000
115,1.000000
116,1.000000
117,1.000000
118,1.000000
119,1.000000
120,1.000000
121,1.000000
122,1.000000
123,1.000000
124,1.000000
125,1.000000
126,1.000000
127,1.000000
128,1.000000
129,1.000000
130,1.000000
131,0.971737
132,0.951613
133,0.935234
134,0.904455
135,0.929967
136,0.965502
137,1.000000
138,1.000000
139,1.000000
140,1.000000
141,1.000000
142,1.000000
143,1.000000
144,1.000000
145,1.000000
146,1.000000
147,1.000000
148,1.000000
149,1.000000
150,1.000000
151,1.000000
152,1.000000
153,1.000000
154,1.000000
155,1.000000
156,1.000000
157,1.000000
158,1.000000
159,1.000000
160,1.000000
161,1.000000
162,1.000000
163,1.000000
164,1.000000
165,1.000000
166,1.000000
167,1.000000
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,1.000000
174,1.000000
175,1.000000
176,1.000000
177,1.000000
178,1.000000
179,1.000000
180,1.000000
181,1.000000
182,1.000000
183,1.000000
184,1.000000
185,1.000000
186,1.000000
187,1.000000
188,1.000000
189,1.000000
190,0.957824
191,0.936025
192,0.938942
193,0.940780
194,0.928856
195,0.947908
196,0.933113
197,0.932237
198,0.961669
199,0.961969
200,0.946137
201,0.943712
202,0.962327
203,0.965220
204,0.963163
205,0.949097
206,1.000000
207,0.972582
208,0.983323
209,0.986038
210,0.977018
211,0.949956
212,0.898189
213,0.893893
214,0.899758
